state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,FERGUS,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,845
MONTANA,30,FERGUS,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),41
MONTANA,30,FERGUS,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),116
MONTANA,30,FERGUS,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),134
MONTANA,30,FERGUS,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),74
MONTANA,30,FERGUS,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),72
MONTANA,30,FERGUS,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",408
MONTANA,30,FERGUS,027,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"2,188,069"
MONTANA,30,FERGUS,027,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,589"
MONTANA,30,FERGUS,027,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,806
MONTANA,30,FERGUS,027,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,833,620"
MONTANA,30,FERGUS,027,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,094"
MONTANA,30,FERGUS,027,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"156,055,000"
MONTANA,30,FERGUS,027,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"184,680"
MONTANA,30,FERGUS,027,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,628
MONTANA,30,FERGUS,027,AG LAND,"AG LAND, CROPLAND - ACRES",,"623,933"
MONTANA,30,FERGUS,027,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,587
MONTANA,30,FERGUS,027,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"390,992"
MONTANA,30,FERGUS,027,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,79
MONTANA,30,FERGUS,027,AG LAND,"AG LAND, IRRIGATED - ACRES",,"16,250"
MONTANA,30,FERGUS,027,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"133,624,000"
MONTANA,30,FERGUS,027,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"158,135"
MONTANA,30,FERGUS,027,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"35,964,000"
MONTANA,30,FERGUS,027,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"97,660,000"
MONTANA,30,FERGUS,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,FERGUS,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",196
MONTANA,30,FERGUS,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",40
MONTANA,30,FERGUS,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",65
MONTANA,30,FERGUS,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",66
MONTANA,30,FERGUS,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",59
MONTANA,30,FERGUS,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",72
MONTANA,30,FERGUS,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",347
MONTANA,30,FERGUS,027,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,438
MONTANA,30,FERGUS,027,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"12,281,000"
MONTANA,30,FERGUS,027,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,436
MONTANA,30,FERGUS,027,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"8,925,000"
MONTANA,30,FERGUS,027,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"131,283,000"
MONTANA,30,FERGUS,027,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"155,365"
MONTANA,30,FERGUS,027,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,845
MONTANA,30,FERGUS,027,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"23,546,000"
MONTANA,30,FERGUS,027,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"27,865"
MONTANA,30,FERGUS,027,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,508
MONTANA,30,FERGUS,027,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"119,336"
MONTANA,30,FERGUS,027,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,478
MONTANA,30,FERGUS,027,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"79,847"
MONTANA,30,FERGUS,027,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,26
MONTANA,30,FERGUS,027,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,408
MONTANA,30,FERGUS,027,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,494
MONTANA,30,FERGUS,027,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"101,216"
MONTANA,30,FERGUS,027,HOGS,HOGS - OPERATIONS WITH INVENTORY,,9
MONTANA,30,FERGUS,027,HOGS,HOGS - INVENTORY,,195
MONTANA,30,FERGUS,027,HOGS,HOGS - OPERATIONS WITH SALES,,4
MONTANA,30,FERGUS,027,HOGS,"HOGS - SALES, MEASURED IN HEAD",,195
MONTANA,30,FERGUS,027,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,43
MONTANA,30,FERGUS,027,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"2,990"
MONTANA,30,FERGUS,027,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,82
MONTANA,30,FERGUS,027,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"1,592"
MONTANA,30,FERGUS,027,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,6
MONTANA,30,FERGUS,027,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,FERGUS,027,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,3
MONTANA,30,FERGUS,027,CORN,"CORN, GRAIN - ACRES HARVESTED",,310
MONTANA,30,FERGUS,027,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"19,700"
MONTANA,30,FERGUS,027,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,FERGUS,027,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
MONTANA,30,FERGUS,027,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
MONTANA,30,FERGUS,027,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,158
MONTANA,30,FERGUS,027,WHEAT,WHEAT - ACRES HARVESTED,,"138,686"
MONTANA,30,FERGUS,027,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"4,570,858"
MONTANA,30,FERGUS,027,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,4
MONTANA,30,FERGUS,027,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"1,520"
MONTANA,30,FERGUS,027,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,FERGUS,027,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,91
MONTANA,30,FERGUS,027,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"43,869"
MONTANA,30,FERGUS,027,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,FERGUS,027,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,125
MONTANA,30,FERGUS,027,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"93,297"
MONTANA,30,FERGUS,027,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"3,495,550"
MONTANA,30,FERGUS,027,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,12
MONTANA,30,FERGUS,027,OATS,OATS - ACRES HARVESTED,,835
MONTANA,30,FERGUS,027,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"27,940"
MONTANA,30,FERGUS,027,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,68
MONTANA,30,FERGUS,027,BARLEY,BARLEY - ACRES HARVESTED,,"28,052"
MONTANA,30,FERGUS,027,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"806,411"
MONTANA,30,FERGUS,027,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,FERGUS,027,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,(D)
MONTANA,30,FERGUS,027,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,FERGUS,027,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,531
MONTANA,30,FERGUS,027,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"203,025"
MONTANA,30,FERGUS,027,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"259,948"
