state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,GLACIER,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,637
MONTANA,30,GLACIER,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),31
MONTANA,30,GLACIER,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),71
MONTANA,30,GLACIER,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),108
MONTANA,30,GLACIER,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),153
MONTANA,30,GLACIER,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),76
MONTANA,30,GLACIER,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",198
MONTANA,30,GLACIER,035,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,185,873"
MONTANA,30,GLACIER,035,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,862"
MONTANA,30,GLACIER,035,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,350
MONTANA,30,GLACIER,035,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,171,691"
MONTANA,30,GLACIER,035,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,167"
MONTANA,30,GLACIER,035,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"96,584,000"
MONTANA,30,GLACIER,035,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"151,623"
MONTANA,30,GLACIER,035,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,331
MONTANA,30,GLACIER,035,AG LAND,"AG LAND, CROPLAND - ACRES",,"493,782"
MONTANA,30,GLACIER,035,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,225
MONTANA,30,GLACIER,035,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"321,880"
MONTANA,30,GLACIER,035,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,93
MONTANA,30,GLACIER,035,AG LAND,"AG LAND, IRRIGATED - ACRES",,"27,432"
MONTANA,30,GLACIER,035,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"106,537,000"
MONTANA,30,GLACIER,035,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"167,247"
MONTANA,30,GLACIER,035,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"58,386,000"
MONTANA,30,GLACIER,035,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"48,151,000"
MONTANA,30,GLACIER,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,GLACIER,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",231
MONTANA,30,GLACIER,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",30
MONTANA,30,GLACIER,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",51
MONTANA,30,GLACIER,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",54
MONTANA,30,GLACIER,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",85
MONTANA,30,GLACIER,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",58
MONTANA,30,GLACIER,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",128
MONTANA,30,GLACIER,035,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,220
MONTANA,30,GLACIER,035,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"5,948,000"
MONTANA,30,GLACIER,035,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,174
MONTANA,30,GLACIER,035,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"10,828,000"
MONTANA,30,GLACIER,035,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"94,553,000"
MONTANA,30,GLACIER,035,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"148,434"
MONTANA,30,GLACIER,035,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,637
MONTANA,30,GLACIER,035,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"28,761,000"
MONTANA,30,GLACIER,035,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"45,151"
MONTANA,30,GLACIER,035,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,302
MONTANA,30,GLACIER,035,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"43,839"
MONTANA,30,GLACIER,035,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,290
MONTANA,30,GLACIER,035,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"31,320"
MONTANA,30,GLACIER,035,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,15
MONTANA,30,GLACIER,035,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,983
MONTANA,30,GLACIER,035,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,292
MONTANA,30,GLACIER,035,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"34,370"
MONTANA,30,GLACIER,035,HOGS,HOGS - OPERATIONS WITH INVENTORY,,13
MONTANA,30,GLACIER,035,HOGS,HOGS - INVENTORY,,"20,195"
MONTANA,30,GLACIER,035,HOGS,HOGS - OPERATIONS WITH SALES,,18
MONTANA,30,GLACIER,035,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"67,656"
MONTANA,30,GLACIER,035,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,7
MONTANA,30,GLACIER,035,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,617
MONTANA,30,GLACIER,035,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,26
MONTANA,30,GLACIER,035,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"172,403"
MONTANA,30,GLACIER,035,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
MONTANA,30,GLACIER,035,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,GLACIER,035,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,86
MONTANA,30,GLACIER,035,WHEAT,WHEAT - ACRES HARVESTED,,"145,185"
MONTANA,30,GLACIER,035,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"5,751,672"
MONTANA,30,GLACIER,035,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,15
MONTANA,30,GLACIER,035,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"20,711"
MONTANA,30,GLACIER,035,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"544,710"
MONTANA,30,GLACIER,035,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,62
MONTANA,30,GLACIER,035,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"55,412"
MONTANA,30,GLACIER,035,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"1,923,068"
MONTANA,30,GLACIER,035,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,50
MONTANA,30,GLACIER,035,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"69,062"
MONTANA,30,GLACIER,035,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"3,283,894"
MONTANA,30,GLACIER,035,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,1
MONTANA,30,GLACIER,035,OATS,OATS - ACRES HARVESTED,,(D)
MONTANA,30,GLACIER,035,OATS,"OATS - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,GLACIER,035,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,57
MONTANA,30,GLACIER,035,BARLEY,BARLEY - ACRES HARVESTED,,"54,216"
MONTANA,30,GLACIER,035,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"2,609,112"
MONTANA,30,GLACIER,035,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,168
MONTANA,30,GLACIER,035,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"48,425"
MONTANA,30,GLACIER,035,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"68,073"
MONTANA,30,GLACIER,035,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,6
MONTANA,30,GLACIER,035,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,35
MONTANA,30,GLACIER,035,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,6
MONTANA,30,GLACIER,035,POTATOES,POTATOES - ACRES HARVESTED,,12
MONTANA,30,GLACIER,035,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,1
MONTANA,30,GLACIER,035,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,(D)
