state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,157
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),4
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),13
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),20
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),19
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),19
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",82
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"683,145"
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,351"
MONTANA,30,GOLDEN VALLEY,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,244"
MONTANA,30,GOLDEN VALLEY,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,914,246"
MONTANA,30,GOLDEN VALLEY,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,670
MONTANA,30,GOLDEN VALLEY,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"22,385,000"
MONTANA,30,GOLDEN VALLEY,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"142,583"
MONTANA,30,GOLDEN VALLEY,037,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,110
MONTANA,30,GOLDEN VALLEY,037,AG LAND,"AG LAND, CROPLAND - ACRES",,"108,004"
MONTANA,30,GOLDEN VALLEY,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,87
MONTANA,30,GOLDEN VALLEY,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"45,741"
MONTANA,30,GOLDEN VALLEY,037,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,36
MONTANA,30,GOLDEN VALLEY,037,AG LAND,"AG LAND, IRRIGATED - ACRES",,"7,334"
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"18,601,000"
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"118,480"
MONTANA,30,GOLDEN VALLEY,037,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"5,195,000"
MONTANA,30,GOLDEN VALLEY,037,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"13,406,000"
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",55
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",3
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",8
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",16
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",9
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",16
MONTANA,30,GOLDEN VALLEY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",50
MONTANA,30,GOLDEN VALLEY,037,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,102
