state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,GRANITE,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,151
MONTANA,30,GRANITE,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
MONTANA,30,GRANITE,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),15
MONTANA,30,GRANITE,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),16
MONTANA,30,GRANITE,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),31
MONTANA,30,GRANITE,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),15
MONTANA,30,GRANITE,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",63
MONTANA,30,GRANITE,039,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"285,656"
MONTANA,30,GRANITE,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,892"
MONTANA,30,GRANITE,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,540
MONTANA,30,GRANITE,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,060,313"
MONTANA,30,GRANITE,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,618"
MONTANA,30,GRANITE,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"21,603,000"
MONTANA,30,GRANITE,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"143,069"
MONTANA,30,GRANITE,039,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,86
MONTANA,30,GRANITE,039,AG LAND,"AG LAND, CROPLAND - ACRES",,"28,910"
MONTANA,30,GRANITE,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,81
MONTANA,30,GRANITE,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"25,069"
MONTANA,30,GRANITE,039,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,89
MONTANA,30,GRANITE,039,AG LAND,"AG LAND, IRRIGATED - ACRES",,"31,861"
MONTANA,30,GRANITE,039,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"17,898,000"
MONTANA,30,GRANITE,039,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"118,530"
MONTANA,30,GRANITE,039,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"2,946,000"
MONTANA,30,GRANITE,039,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"14,952,000"
MONTANA,30,GRANITE,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,GRANITE,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",50
MONTANA,30,GRANITE,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",5
MONTANA,30,GRANITE,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",6
MONTANA,30,GRANITE,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",9
MONTANA,30,GRANITE,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",4
MONTANA,30,GRANITE,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",22
MONTANA,30,GRANITE,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",55
MONTANA,30,GRANITE,039,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,49
MONTANA,30,GRANITE,039,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"268,000"
MONTANA,30,GRANITE,039,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,59
MONTANA,30,GRANITE,039,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,233,000"
MONTANA,30,GRANITE,039,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"15,792,000"
MONTANA,30,GRANITE,039,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"104,584"
MONTANA,30,GRANITE,039,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,151
MONTANA,30,GRANITE,039,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"3,606,000"
MONTANA,30,GRANITE,039,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"23,881"
MONTANA,30,GRANITE,039,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,86
MONTANA,30,GRANITE,039,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"19,392"
MONTANA,30,GRANITE,039,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,76
MONTANA,30,GRANITE,039,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"14,256"
MONTANA,30,GRANITE,039,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,3
MONTANA,30,GRANITE,039,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,6
MONTANA,30,GRANITE,039,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,83
MONTANA,30,GRANITE,039,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"13,979"
MONTANA,30,GRANITE,039,HOGS,HOGS - OPERATIONS WITH INVENTORY,,6
MONTANA,30,GRANITE,039,HOGS,HOGS - INVENTORY,,(D)
MONTANA,30,GRANITE,039,HOGS,HOGS - OPERATIONS WITH SALES,,6
MONTANA,30,GRANITE,039,HOGS,"HOGS - SALES, MEASURED IN HEAD",,117
MONTANA,30,GRANITE,039,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,15
MONTANA,30,GRANITE,039,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"1,078"
MONTANA,30,GRANITE,039,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,13
MONTANA,30,GRANITE,039,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,174
MONTANA,30,GRANITE,039,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,GRANITE,039,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
MONTANA,30,GRANITE,039,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
MONTANA,30,GRANITE,039,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,4
MONTANA,30,GRANITE,039,WHEAT,WHEAT - ACRES HARVESTED,,184
MONTANA,30,GRANITE,039,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"20,240"
MONTANA,30,GRANITE,039,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,4
MONTANA,30,GRANITE,039,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,184
MONTANA,30,GRANITE,039,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"20,240"
MONTANA,30,GRANITE,039,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,1
MONTANA,30,GRANITE,039,BARLEY,BARLEY - ACRES HARVESTED,,(D)
MONTANA,30,GRANITE,039,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,(D)
