state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,HILL,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,698
MONTANA,30,HILL,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),25
MONTANA,30,HILL,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),40
MONTANA,30,HILL,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),75
MONTANA,30,HILL,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),114
MONTANA,30,HILL,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),88
MONTANA,30,HILL,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",356
MONTANA,30,HILL,041,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,615,704"
MONTANA,30,HILL,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,315"
MONTANA,30,HILL,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,020"
MONTANA,30,HILL,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,992,745"
MONTANA,30,HILL,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,861
MONTANA,30,HILL,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"181,028,000"
MONTANA,30,HILL,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"259,353"
MONTANA,30,HILL,041,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,585
MONTANA,30,HILL,041,AG LAND,"AG LAND, CROPLAND - ACRES",,"1,222,312"
MONTANA,30,HILL,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,449
MONTANA,30,HILL,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"662,360"
MONTANA,30,HILL,041,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,35
MONTANA,30,HILL,041,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,127"
MONTANA,30,HILL,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"130,750,000"
MONTANA,30,HILL,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"187,322"
MONTANA,30,HILL,041,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"107,131,000"
MONTANA,30,HILL,041,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"23,620,000"
MONTANA,30,HILL,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,HILL,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",222
MONTANA,30,HILL,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",16
MONTANA,30,HILL,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",23
MONTANA,30,HILL,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",40
MONTANA,30,HILL,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",57
MONTANA,30,HILL,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",52
MONTANA,30,HILL,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",288
MONTANA,30,HILL,041,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,530
MONTANA,30,HILL,041,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"20,360,000"
MONTANA,30,HILL,041,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,409
MONTANA,30,HILL,041,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"11,831,000"
MONTANA,30,HILL,041,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"122,227,000"
MONTANA,30,HILL,041,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"175,110"
MONTANA,30,HILL,041,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,698
MONTANA,30,HILL,041,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"40,714,000"
MONTANA,30,HILL,041,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"58,330"
MONTANA,30,HILL,041,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,179
MONTANA,30,HILL,041,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"16,826"
MONTANA,30,HILL,041,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,164
MONTANA,30,HILL,041,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"12,089"
MONTANA,30,HILL,041,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,8
MONTANA,30,HILL,041,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,22
MONTANA,30,HILL,041,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,163
MONTANA,30,HILL,041,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"19,712"
MONTANA,30,HILL,041,HOGS,HOGS - OPERATIONS WITH INVENTORY,,9
MONTANA,30,HILL,041,HOGS,HOGS - INVENTORY,,(D)
MONTANA,30,HILL,041,HOGS,HOGS - OPERATIONS WITH SALES,,9
MONTANA,30,HILL,041,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,HILL,041,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,5
MONTANA,30,HILL,041,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,419
MONTANA,30,HILL,041,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,36
MONTANA,30,HILL,041,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,(D)
MONTANA,30,HILL,041,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,8
MONTANA,30,HILL,041,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,"1,900"
MONTANA,30,HILL,041,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,HILL,041,CORN,"CORN, GRAIN - ACRES HARVESTED",,(D)
MONTANA,30,HILL,041,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,HILL,041,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,2
MONTANA,30,HILL,041,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
MONTANA,30,HILL,041,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
MONTANA,30,HILL,041,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,349
MONTANA,30,HILL,041,WHEAT,WHEAT - ACRES HARVESTED,,"501,546"
MONTANA,30,HILL,041,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"16,063,620"
MONTANA,30,HILL,041,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,35
MONTANA,30,HILL,041,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"17,243"
MONTANA,30,HILL,041,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"517,892"
MONTANA,30,HILL,041,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,284
MONTANA,30,HILL,041,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"251,808"
MONTANA,30,HILL,041,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"7,528,494"
MONTANA,30,HILL,041,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,256
MONTANA,30,HILL,041,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"232,495"
MONTANA,30,HILL,041,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"8,017,234"
MONTANA,30,HILL,041,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,9
MONTANA,30,HILL,041,OATS,OATS - ACRES HARVESTED,,769
