state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,370
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),30
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),107
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),88
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),61
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),22
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",62
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"352,128"
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,952
MONTANA,30,JEFFERSON,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,103
MONTANA,30,JEFFERSON,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,619,472"
MONTANA,30,JEFFERSON,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,702"
MONTANA,30,JEFFERSON,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"32,715,000"
MONTANA,30,JEFFERSON,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"88,418"
MONTANA,30,JEFFERSON,043,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,205
MONTANA,30,JEFFERSON,043,AG LAND,"AG LAND, CROPLAND - ACRES",,"57,864"
MONTANA,30,JEFFERSON,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,172
MONTANA,30,JEFFERSON,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"29,411"
MONTANA,30,JEFFERSON,043,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,186
MONTANA,30,JEFFERSON,043,AG LAND,"AG LAND, IRRIGATED - ACRES",,"33,458"
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"20,164,000"
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"54,497"
MONTANA,30,JEFFERSON,043,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"4,062,000"
MONTANA,30,JEFFERSON,043,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"16,102,000"
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",193
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",29
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",29
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",34
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",18
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",23
MONTANA,30,JEFFERSON,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",44
MONTANA,30,JEFFERSON,043,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,43
MONTANA,30,JEFFERSON,043,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"634,000"
MONTANA,30,JEFFERSON,043,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,92
MONTANA,30,JEFFERSON,043,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"788,000"
MONTANA,30,JEFFERSON,043,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"18,069,000"
MONTANA,30,JEFFERSON,043,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"48,835"
MONTANA,30,JEFFERSON,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,370
MONTANA,30,JEFFERSON,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"3,517,000"
MONTANA,30,JEFFERSON,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"9,505"
MONTANA,30,JEFFERSON,043,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,161
MONTANA,30,JEFFERSON,043,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"24,879"
MONTANA,30,JEFFERSON,043,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,141
MONTANA,30,JEFFERSON,043,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"16,758"
MONTANA,30,JEFFERSON,043,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,3
MONTANA,30,JEFFERSON,043,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,6
MONTANA,30,JEFFERSON,043,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,152
MONTANA,30,JEFFERSON,043,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"15,339"
MONTANA,30,JEFFERSON,043,HOGS,HOGS - OPERATIONS WITH INVENTORY,,12
MONTANA,30,JEFFERSON,043,HOGS,HOGS - INVENTORY,,85
MONTANA,30,JEFFERSON,043,HOGS,HOGS - OPERATIONS WITH SALES,,7
MONTANA,30,JEFFERSON,043,HOGS,"HOGS - SALES, MEASURED IN HEAD",,65
MONTANA,30,JEFFERSON,043,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,30
MONTANA,30,JEFFERSON,043,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"2,996"
MONTANA,30,JEFFERSON,043,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,46
MONTANA,30,JEFFERSON,043,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,717
MONTANA,30,JEFFERSON,043,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,JEFFERSON,043,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
MONTANA,30,JEFFERSON,043,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
MONTANA,30,JEFFERSON,043,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,3
MONTANA,30,JEFFERSON,043,WHEAT,WHEAT - ACRES HARVESTED,,"5,599"
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"236,984"
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,(D)
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,2
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,3
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"4,545"
MONTANA,30,JEFFERSON,043,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,JEFFERSON,043,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,151
MONTANA,30,JEFFERSON,043,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"23,668"
MONTANA,30,JEFFERSON,043,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"61,612"
MONTANA,30,JEFFERSON,043,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,5
MONTANA,30,JEFFERSON,043,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,2
MONTANA,30,JEFFERSON,043,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,1
MONTANA,30,JEFFERSON,043,POTATOES,POTATOES - ACRES HARVESTED,,(D)
MONTANA,30,JEFFERSON,043,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,16
MONTANA,30,JEFFERSON,043,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,19
MONTANA,30,JEFFERSON,043,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,370
