state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,357
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),19
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),30
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),56
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),31
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),30
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",191
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"860,136"
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,409"
MONTANA,30,JUDITH BASIN,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,191"
MONTANA,30,JUDITH BASIN,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,237,680"
MONTANA,30,JUDITH BASIN,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,929
MONTANA,30,JUDITH BASIN,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"80,743,000"
MONTANA,30,JUDITH BASIN,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"226,807"
MONTANA,30,JUDITH BASIN,045,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,259
MONTANA,30,JUDITH BASIN,045,AG LAND,"AG LAND, CROPLAND - ACRES",,"278,940"
MONTANA,30,JUDITH BASIN,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,247
MONTANA,30,JUDITH BASIN,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"198,023"
MONTANA,30,JUDITH BASIN,045,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,59
MONTANA,30,JUDITH BASIN,045,AG LAND,"AG LAND, IRRIGATED - ACRES",,"13,702"
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"88,901,000"
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"249,024"
MONTANA,30,JUDITH BASIN,045,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"25,050,000"
MONTANA,30,JUDITH BASIN,045,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"63,851,000"
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",56
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",22
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",8
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",24
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",38
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",41
MONTANA,30,JUDITH BASIN,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",168
MONTANA,30,JUDITH BASIN,045,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,208
MONTANA,30,JUDITH BASIN,045,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"3,687,000"
MONTANA,30,JUDITH BASIN,045,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,214
