state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,LAKE,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,170"
MONTANA,30,LAKE,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),245
MONTANA,30,LAKE,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),407
MONTANA,30,LAKE,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),256
MONTANA,30,LAKE,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),118
MONTANA,30,LAKE,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),67
MONTANA,30,LAKE,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",77
MONTANA,30,LAKE,047,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"641,471"
MONTANA,30,LAKE,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,548
MONTANA,30,LAKE,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,40
MONTANA,30,LAKE,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"880,495"
MONTANA,30,LAKE,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,606"
MONTANA,30,LAKE,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"85,297,000"
MONTANA,30,LAKE,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"72,903"
MONTANA,30,LAKE,047,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,836
MONTANA,30,LAKE,047,AG LAND,"AG LAND, CROPLAND - ACRES",,"93,368"
MONTANA,30,LAKE,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,751
MONTANA,30,LAKE,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"64,314"
MONTANA,30,LAKE,047,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,803
MONTANA,30,LAKE,047,AG LAND,"AG LAND, IRRIGATED - ACRES",,"100,398"
MONTANA,30,LAKE,047,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"64,796,000"
MONTANA,30,LAKE,047,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"55,381"
MONTANA,30,LAKE,047,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"22,042,000"
MONTANA,30,LAKE,047,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"42,754,000"
MONTANA,30,LAKE,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,LAKE,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",445
MONTANA,30,LAKE,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",124
MONTANA,30,LAKE,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",133
MONTANA,30,LAKE,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",139
MONTANA,30,LAKE,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",109
MONTANA,30,LAKE,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",68
MONTANA,30,LAKE,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",152
MONTANA,30,LAKE,047,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,157
MONTANA,30,LAKE,047,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"1,442,000"
MONTANA,30,LAKE,047,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,391
MONTANA,30,LAKE,047,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"3,670,000"
MONTANA,30,LAKE,047,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"65,636,000"
MONTANA,30,LAKE,047,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"56,099"
MONTANA,30,LAKE,047,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,"1,170"
MONTANA,30,LAKE,047,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"4,271,000"
MONTANA,30,LAKE,047,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"3,651"
MONTANA,30,LAKE,047,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,463
MONTANA,30,LAKE,047,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"56,119"
MONTANA,30,LAKE,047,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,396
MONTANA,30,LAKE,047,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"26,927"
MONTANA,30,LAKE,047,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,25
MONTANA,30,LAKE,047,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,818
MONTANA,30,LAKE,047,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,412
MONTANA,30,LAKE,047,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"38,096"
MONTANA,30,LAKE,047,HOGS,HOGS - OPERATIONS WITH INVENTORY,,26
MONTANA,30,LAKE,047,HOGS,HOGS - INVENTORY,,146
MONTANA,30,LAKE,047,HOGS,HOGS - OPERATIONS WITH SALES,,35
MONTANA,30,LAKE,047,HOGS,"HOGS - SALES, MEASURED IN HEAD",,333
MONTANA,30,LAKE,047,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,38
MONTANA,30,LAKE,047,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"1,444"
MONTANA,30,LAKE,047,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,131
MONTANA,30,LAKE,047,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"14,273"
MONTANA,30,LAKE,047,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,3
MONTANA,30,LAKE,047,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,75
MONTANA,30,LAKE,047,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,2
