state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,707
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),112
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),355
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),108
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),38
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),15
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",79
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"800,658"
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,132"
MONTANA,30,LEWIS AND CLARK,049,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,25
MONTANA,30,LEWIS AND CLARK,049,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,479,324"
MONTANA,30,LEWIS AND CLARK,049,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,306"
MONTANA,30,LEWIS AND CLARK,049,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"55,741,000"
MONTANA,30,LEWIS AND CLARK,049,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"78,842"
MONTANA,30,LEWIS AND CLARK,049,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,479
MONTANA,30,LEWIS AND CLARK,049,AG LAND,"AG LAND, CROPLAND - ACRES",,"78,688"
MONTANA,30,LEWIS AND CLARK,049,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,409
MONTANA,30,LEWIS AND CLARK,049,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"60,055"
MONTANA,30,LEWIS AND CLARK,049,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,410
MONTANA,30,LEWIS AND CLARK,049,AG LAND,"AG LAND, IRRIGATED - ACRES",,"48,209"
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"43,187,000"
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"61,085"
MONTANA,30,LEWIS AND CLARK,049,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"13,425,000"
MONTANA,30,LEWIS AND CLARK,049,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"29,762,000"
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",345
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",81
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",98
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",55
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",46
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",17
MONTANA,30,LEWIS AND CLARK,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",65
MONTANA,30,LEWIS AND CLARK,049,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,83
MONTANA,30,LEWIS AND CLARK,049,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"1,081,000"
MONTANA,30,LEWIS AND CLARK,049,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,159
MONTANA,30,LEWIS AND CLARK,049,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"3,218,000"
MONTANA,30,LEWIS AND CLARK,049,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"44,426,000"
MONTANA,30,LEWIS AND CLARK,049,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"62,838"
MONTANA,30,LEWIS AND CLARK,049,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,707
MONTANA,30,LEWIS AND CLARK,049,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"3,060,000"
MONTANA,30,LEWIS AND CLARK,049,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"4,328"
MONTANA,30,LEWIS AND CLARK,049,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,248
MONTANA,30,LEWIS AND CLARK,049,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"40,202"
MONTANA,30,LEWIS AND CLARK,049,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,206
MONTANA,30,LEWIS AND CLARK,049,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"24,121"
MONTANA,30,LEWIS AND CLARK,049,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,12
MONTANA,30,LEWIS AND CLARK,049,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,122
