state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,LIBERTY,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,246
MONTANA,30,LIBERTY,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),1
MONTANA,30,LIBERTY,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),4
MONTANA,30,LIBERTY,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),9
MONTANA,30,LIBERTY,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),23
MONTANA,30,LIBERTY,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),23
MONTANA,30,LIBERTY,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",186
MONTANA,30,LIBERTY,051,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"913,576"
MONTANA,30,LIBERTY,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,714"
MONTANA,30,LIBERTY,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"2,807"
MONTANA,30,LIBERTY,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,329,506"
MONTANA,30,LIBERTY,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,897
MONTANA,30,LIBERTY,051,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"103,114,000"
MONTANA,30,LIBERTY,051,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"424,336"
