state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,LINCOLN,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,345
MONTANA,30,LINCOLN,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),50
MONTANA,30,LINCOLN,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),133
MONTANA,30,LINCOLN,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),99
MONTANA,30,LINCOLN,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),49
MONTANA,30,LINCOLN,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),6
MONTANA,30,LINCOLN,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",8
MONTANA,30,LINCOLN,053,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"47,783"
MONTANA,30,LINCOLN,053,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,139
MONTANA,30,LINCOLN,053,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,45
MONTANA,30,LINCOLN,053,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"727,103"
MONTANA,30,LINCOLN,053,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"5,250"
MONTANA,30,LINCOLN,053,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"18,844,000"
MONTANA,30,LINCOLN,053,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"54,620"
MONTANA,30,LINCOLN,053,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,238
MONTANA,30,LINCOLN,053,AG LAND,"AG LAND, CROPLAND - ACRES",,"12,546"
MONTANA,30,LINCOLN,053,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,204
MONTANA,30,LINCOLN,053,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"7,801"
MONTANA,30,LINCOLN,053,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,129
MONTANA,30,LINCOLN,053,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,890"
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"3,111,000"
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"9,019"
MONTANA,30,LINCOLN,053,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"1,011,000"
MONTANA,30,LINCOLN,053,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"2,100,000"
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",213
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",54
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",25
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",28
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",12
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",4
MONTANA,30,LINCOLN,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",9
MONTANA,30,LINCOLN,053,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,4
MONTANA,30,LINCOLN,053,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"47,000"
MONTANA,30,LINCOLN,053,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,70
MONTANA,30,LINCOLN,053,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"3,534,000"
MONTANA,30,LINCOLN,053,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"8,645,000"
MONTANA,30,LINCOLN,053,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"25,057"
MONTANA,30,LINCOLN,053,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,345
MONTANA,30,LINCOLN,053,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"-1,953,000"
MONTANA,30,LINCOLN,053,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"-5,660"
MONTANA,30,LINCOLN,053,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,98
MONTANA,30,LINCOLN,053,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"2,101"
MONTANA,30,LINCOLN,053,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,81
MONTANA,30,LINCOLN,053,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
MONTANA,30,LINCOLN,053,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,2
MONTANA,30,LINCOLN,053,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
MONTANA,30,LINCOLN,053,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,56
MONTANA,30,LINCOLN,053,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"1,639"
MONTANA,30,LINCOLN,053,HOGS,HOGS - OPERATIONS WITH INVENTORY,,5
MONTANA,30,LINCOLN,053,HOGS,HOGS - INVENTORY,,53
MONTANA,30,LINCOLN,053,HOGS,HOGS - OPERATIONS WITH SALES,,6
MONTANA,30,LINCOLN,053,HOGS,"HOGS - SALES, MEASURED IN HEAD",,34
MONTANA,30,LINCOLN,053,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,9
MONTANA,30,LINCOLN,053,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,(D)
MONTANA,30,LINCOLN,053,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,71
MONTANA,30,LINCOLN,053,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"1,105"
MONTANA,30,LINCOLN,053,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,1
MONTANA,30,LINCOLN,053,WHEAT,WHEAT - ACRES HARVESTED,,(D)
MONTANA,30,LINCOLN,053,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,LINCOLN,053,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,LINCOLN,053,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
MONTANA,30,LINCOLN,053,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,LINCOLN,053,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,LINCOLN,053,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
MONTANA,30,LINCOLN,053,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,LINCOLN,053,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,1
MONTANA,30,LINCOLN,053,BARLEY,BARLEY - ACRES HARVESTED,,(D)
MONTANA,30,LINCOLN,053,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,LINCOLN,053,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,172
MONTANA,30,LINCOLN,053,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"7,616"
MONTANA,30,LINCOLN,053,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"11,697"
MONTANA,30,LINCOLN,053,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,18
MONTANA,30,LINCOLN,053,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,16
MONTANA,30,LINCOLN,053,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,1
MONTANA,30,LINCOLN,053,POTATOES,POTATOES - ACRES HARVESTED,,(D)
MONTANA,30,LINCOLN,053,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,5
MONTANA,30,LINCOLN,053,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,5
MONTANA,30,LINCOLN,053,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,345
