state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,MADISON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,605
MONTANA,30,MADISON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),53
MONTANA,30,MADISON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),125
MONTANA,30,MADISON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),95
MONTANA,30,MADISON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),112
MONTANA,30,MADISON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),48
MONTANA,30,MADISON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",172
MONTANA,30,MADISON,057,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"923,307"
MONTANA,30,MADISON,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,526"
MONTANA,30,MADISON,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,220
MONTANA,30,MADISON,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,610,305"
MONTANA,30,MADISON,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,710"
MONTANA,30,MADISON,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"90,702,000"
MONTANA,30,MADISON,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"149,921"
MONTANA,30,MADISON,057,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,376
MONTANA,30,MADISON,057,AG LAND,"AG LAND, CROPLAND - ACRES",,"151,196"
MONTANA,30,MADISON,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,326
MONTANA,30,MADISON,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"99,723"
