state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,MCCONE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,437
MONTANA,30,MCCONE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),4
MONTANA,30,MCCONE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),14
MONTANA,30,MCCONE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),24
MONTANA,30,MCCONE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),72
MONTANA,30,MCCONE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),65
MONTANA,30,MCCONE,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",258
MONTANA,30,MCCONE,055,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,339,597"
MONTANA,30,MCCONE,055,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,065"
MONTANA,30,MCCONE,055,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,694"
MONTANA,30,MCCONE,055,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,619,356"
MONTANA,30,MCCONE,055,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,528
MONTANA,30,MCCONE,055,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"103,731,000"
MONTANA,30,MCCONE,055,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"237,370"
MONTANA,30,MCCONE,055,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,361
MONTANA,30,MCCONE,055,AG LAND,"AG LAND, CROPLAND - ACRES",,"591,961"
MONTANA,30,MCCONE,055,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,229
MONTANA,30,MCCONE,055,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"319,986"
MONTANA,30,MCCONE,055,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,19
MONTANA,30,MCCONE,055,AG LAND,"AG LAND, IRRIGATED - ACRES",,"7,273"
MONTANA,30,MCCONE,055,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"61,277,000"
MONTANA,30,MCCONE,055,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"140,221"
MONTANA,30,MCCONE,055,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"30,002,000"
MONTANA,30,MCCONE,055,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"31,275,000"
MONTANA,30,MCCONE,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,MCCONE,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",123
MONTANA,30,MCCONE,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",11
MONTANA,30,MCCONE,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",11
MONTANA,30,MCCONE,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",35
MONTANA,30,MCCONE,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",54
MONTANA,30,MCCONE,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",47
MONTANA,30,MCCONE,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",156
MONTANA,30,MCCONE,055,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,352
MONTANA,30,MCCONE,055,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"13,400,000"
MONTANA,30,MCCONE,055,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,310
MONTANA,30,MCCONE,055,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"11,409,000"
MONTANA,30,MCCONE,055,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"75,019,000"
MONTANA,30,MCCONE,055,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"171,668"
MONTANA,30,MCCONE,055,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,437
MONTANA,30,MCCONE,055,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"11,067,000"
MONTANA,30,MCCONE,055,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"25,325"
MONTANA,30,MCCONE,055,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,177
MONTANA,30,MCCONE,055,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"40,349"
MONTANA,30,MCCONE,055,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,167
MONTANA,30,MCCONE,055,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
MONTANA,30,MCCONE,055,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,2
MONTANA,30,MCCONE,055,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
MONTANA,30,MCCONE,055,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,173
MONTANA,30,MCCONE,055,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"33,969"
MONTANA,30,MCCONE,055,HOGS,HOGS - OPERATIONS WITH INVENTORY,,4
MONTANA,30,MCCONE,055,HOGS,HOGS - INVENTORY,,(D)
MONTANA,30,MCCONE,055,HOGS,HOGS - OPERATIONS WITH SALES,,6
MONTANA,30,MCCONE,055,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,MCCONE,055,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,12
MONTANA,30,MCCONE,055,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"8,279"
MONTANA,30,MCCONE,055,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,13
MONTANA,30,MCCONE,055,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,424
MONTANA,30,MCCONE,055,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,3
MONTANA,30,MCCONE,055,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,MCCONE,055,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,14
MONTANA,30,MCCONE,055,CORN,"CORN, GRAIN - ACRES HARVESTED",,"4,012"
MONTANA,30,MCCONE,055,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"153,812"
MONTANA,30,MCCONE,055,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,6
MONTANA,30,MCCONE,055,CORN,"CORN, SILAGE - ACRES HARVESTED",,482
MONTANA,30,MCCONE,055,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"3,147"
MONTANA,30,MCCONE,055,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,162
MONTANA,30,MCCONE,055,WHEAT,WHEAT - ACRES HARVESTED,,"187,518"
MONTANA,30,MCCONE,055,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"2,658,612"
MONTANA,30,MCCONE,055,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,14
MONTANA,30,MCCONE,055,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"7,617"
MONTANA,30,MCCONE,055,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"114,902"
