state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,MEAGHER,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,145
MONTANA,30,MEAGHER,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
MONTANA,30,MEAGHER,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),20
MONTANA,30,MEAGHER,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),9
MONTANA,30,MEAGHER,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),14
MONTANA,30,MEAGHER,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),3
MONTANA,30,MEAGHER,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",88
MONTANA,30,MEAGHER,059,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"882,177"
MONTANA,30,MEAGHER,059,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"6,084"
MONTANA,30,MEAGHER,059,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,800"
MONTANA,30,MEAGHER,059,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"5,524,417"
MONTANA,30,MEAGHER,059,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,908
MONTANA,30,MEAGHER,059,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"39,237,000"
MONTANA,30,MEAGHER,059,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"270,602"
MONTANA,30,MEAGHER,059,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,102
MONTANA,30,MEAGHER,059,AG LAND,"AG LAND, CROPLAND - ACRES",,"85,231"
MONTANA,30,MEAGHER,059,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,94
MONTANA,30,MEAGHER,059,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"62,451"
MONTANA,30,MEAGHER,059,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,80
MONTANA,30,MEAGHER,059,AG LAND,"AG LAND, IRRIGATED - ACRES",,"52,074"
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"36,769,000"
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"253,581"
MONTANA,30,MEAGHER,059,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"4,436,000"
MONTANA,30,MEAGHER,059,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"32,334,000"
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",36
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",9
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",12
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",5
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",7
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",10
MONTANA,30,MEAGHER,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",66
MONTANA,30,MEAGHER,059,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,38
MONTANA,30,MEAGHER,059,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"887,000"
MONTANA,30,MEAGHER,059,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,72
MONTANA,30,MEAGHER,059,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,677,000"
MONTANA,30,MEAGHER,059,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"32,556,000"
