state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,MISSOULA,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,576
MONTANA,30,MISSOULA,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),171
MONTANA,30,MISSOULA,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),210
MONTANA,30,MISSOULA,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),108
MONTANA,30,MISSOULA,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),47
MONTANA,30,MISSOULA,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),19
MONTANA,30,MISSOULA,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",21
MONTANA,30,MISSOULA,063,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"260,117"
MONTANA,30,MISSOULA,063,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,452
MONTANA,30,MISSOULA,063,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,20
MONTANA,30,MISSOULA,063,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,262,721"
MONTANA,30,MISSOULA,063,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,796"
MONTANA,30,MISSOULA,063,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"24,397,000"
MONTANA,30,MISSOULA,063,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"42,356"
MONTANA,30,MISSOULA,063,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,335
MONTANA,30,MISSOULA,063,AG LAND,"AG LAND, CROPLAND - ACRES",,"21,550"
MONTANA,30,MISSOULA,063,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,275
MONTANA,30,MISSOULA,063,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"13,905"
MONTANA,30,MISSOULA,063,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,363
MONTANA,30,MISSOULA,063,AG LAND,"AG LAND, IRRIGATED - ACRES",,"15,458"
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"9,849,000"
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"17,098"
MONTANA,30,MISSOULA,063,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"5,641,000"
MONTANA,30,MISSOULA,063,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"4,208,000"
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",334
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",71
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",52
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",44
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",27
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",27
MONTANA,30,MISSOULA,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",21
MONTANA,30,MISSOULA,063,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,35
MONTANA,30,MISSOULA,063,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"417,000"
MONTANA,30,MISSOULA,063,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,168
MONTANA,30,MISSOULA,063,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"5,049,000"
MONTANA,30,MISSOULA,063,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"18,268,000"
MONTANA,30,MISSOULA,063,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"31,715"
MONTANA,30,MISSOULA,063,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,576
MONTANA,30,MISSOULA,063,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"-2,953,000"
MONTANA,30,MISSOULA,063,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"-5,127"
MONTANA,30,MISSOULA,063,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,136
MONTANA,30,MISSOULA,063,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"5,772"
MONTANA,30,MISSOULA,063,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,117
MONTANA,30,MISSOULA,063,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"3,717"
MONTANA,30,MISSOULA,063,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,7
MONTANA,30,MISSOULA,063,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,18
MONTANA,30,MISSOULA,063,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,120
MONTANA,30,MISSOULA,063,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"3,302"
MONTANA,30,MISSOULA,063,HOGS,HOGS - OPERATIONS WITH INVENTORY,,18
MONTANA,30,MISSOULA,063,HOGS,HOGS - INVENTORY,,141
MONTANA,30,MISSOULA,063,HOGS,HOGS - OPERATIONS WITH SALES,,8
MONTANA,30,MISSOULA,063,HOGS,"HOGS - SALES, MEASURED IN HEAD",,252
MONTANA,30,MISSOULA,063,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,48
MONTANA,30,MISSOULA,063,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,739
MONTANA,30,MISSOULA,063,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,113
MONTANA,30,MISSOULA,063,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"2,087"
MONTANA,30,MISSOULA,063,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
MONTANA,30,MISSOULA,063,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,MISSOULA,063,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,2
MONTANA,30,MISSOULA,063,CORN,"CORN, GRAIN - ACRES HARVESTED",,(D)
MONTANA,30,MISSOULA,063,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,MISSOULA,063,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,2
MONTANA,30,MISSOULA,063,WHEAT,WHEAT - ACRES HARVESTED,,(D)
MONTANA,30,MISSOULA,063,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,MISSOULA,063,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,2
MONTANA,30,MISSOULA,063,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
MONTANA,30,MISSOULA,063,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
