state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,346
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),39
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),106
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),47
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),24
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",119
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,103,333"
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,189"
MONTANA,30,MUSSELSHELL,065,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,220
MONTANA,30,MUSSELSHELL,065,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,038,138"
MONTANA,30,MUSSELSHELL,065,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,639
MONTANA,30,MUSSELSHELL,065,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"48,408,000"
MONTANA,30,MUSSELSHELL,065,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"140,313"
MONTANA,30,MUSSELSHELL,065,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,165
MONTANA,30,MUSSELSHELL,065,AG LAND,"AG LAND, CROPLAND - ACRES",,"145,144"
MONTANA,30,MUSSELSHELL,065,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,114
MONTANA,30,MUSSELSHELL,065,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"66,340"
MONTANA,30,MUSSELSHELL,065,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,56
MONTANA,30,MUSSELSHELL,065,AG LAND,"AG LAND, IRRIGATED - ACRES",,"12,936"
MONTANA,30,MUSSELSHELL,065,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"37,284,000"
MONTANA,30,MUSSELSHELL,065,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"107,757"
MONTANA,30,MUSSELSHELL,065,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"7,744,000"
MONTANA,30,MUSSELSHELL,065,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"29,541,000"
