state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,PARK,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,575
MONTANA,30,PARK,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),57
MONTANA,30,PARK,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),172
MONTANA,30,PARK,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),81
MONTANA,30,PARK,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),71
MONTANA,30,PARK,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),64
MONTANA,30,PARK,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",130
MONTANA,30,PARK,067,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"711,966"
MONTANA,30,PARK,067,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,238"
MONTANA,30,PARK,067,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,159
MONTANA,30,PARK,067,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,230,902"
MONTANA,30,PARK,067,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,609"
MONTANA,30,PARK,067,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"56,594,000"
MONTANA,30,PARK,067,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"98,425"
MONTANA,30,PARK,067,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,354
MONTANA,30,PARK,067,AG LAND,"AG LAND, CROPLAND - ACRES",,"110,716"
MONTANA,30,PARK,067,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,280
MONTANA,30,PARK,067,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"65,988"
MONTANA,30,PARK,067,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,280
MONTANA,30,PARK,067,AG LAND,"AG LAND, IRRIGATED - ACRES",,"61,973"
MONTANA,30,PARK,067,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"33,515,000"
MONTANA,30,PARK,067,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"58,287"
MONTANA,30,PARK,067,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"9,403,000"
MONTANA,30,PARK,067,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"24,112,000"
MONTANA,30,PARK,067,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,PARK,067,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",234
MONTANA,30,PARK,067,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",49
MONTANA,30,PARK,067,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",61
MONTANA,30,PARK,067,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",53
MONTANA,30,PARK,067,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",35
MONTANA,30,PARK,067,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",52
MONTANA,30,PARK,067,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",91
MONTANA,30,PARK,067,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,88
