state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,104
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),5
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),8
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),5
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),11
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),8
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",67
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"592,558"
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"5,698"
MONTANA,30,PETROLEUM,069,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"2,500"
MONTANA,30,PETROLEUM,069,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,863,919"
MONTANA,30,PETROLEUM,069,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,678
MONTANA,30,PETROLEUM,069,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"20,231,000"
MONTANA,30,PETROLEUM,069,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"194,528"
MONTANA,30,PETROLEUM,069,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,76
MONTANA,30,PETROLEUM,069,AG LAND,"AG LAND, CROPLAND - ACRES",,"84,845"
MONTANA,30,PETROLEUM,069,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,64
MONTANA,30,PETROLEUM,069,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"46,244"
MONTANA,30,PETROLEUM,069,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,33
MONTANA,30,PETROLEUM,069,AG LAND,"AG LAND, IRRIGATED - ACRES",,"10,881"
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"17,761,000"
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"170,779"
MONTANA,30,PETROLEUM,069,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,269,000"
MONTANA,30,PETROLEUM,069,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"14,492,000"
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",29
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",1
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",5
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",5
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",4
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",13
MONTANA,30,PETROLEUM,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",47
MONTANA,30,PETROLEUM,069,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,54
MONTANA,30,PETROLEUM,069,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"861,000"
MONTANA,30,PETROLEUM,069,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,58
MONTANA,30,PETROLEUM,069,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,066,000"
MONTANA,30,PETROLEUM,069,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"14,605,000"
MONTANA,30,PETROLEUM,069,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"140,437"
