state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,445
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),20
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),31
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),45
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),58
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),50
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",241
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,936,545"
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,352"
MONTANA,30,PHILLIPS,071,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,160"
MONTANA,30,PHILLIPS,071,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,306,077"
MONTANA,30,PHILLIPS,071,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,530
MONTANA,30,PHILLIPS,071,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"99,809,000"
MONTANA,30,PHILLIPS,071,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"224,289"
MONTANA,30,PHILLIPS,071,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,356
MONTANA,30,PHILLIPS,071,AG LAND,"AG LAND, CROPLAND - ACRES",,"508,821"
MONTANA,30,PHILLIPS,071,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,285
MONTANA,30,PHILLIPS,071,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"265,039"
MONTANA,30,PHILLIPS,071,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,151
MONTANA,30,PHILLIPS,071,AG LAND,"AG LAND, IRRIGATED - ACRES",,"31,427"
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"74,636,000"
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"167,721"
MONTANA,30,PHILLIPS,071,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"25,376,000"
MONTANA,30,PHILLIPS,071,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"49,259,000"
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",90
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",24
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",37
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",42
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",38
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",33
MONTANA,30,PHILLIPS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",181
MONTANA,30,PHILLIPS,071,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,294
MONTANA,30,PHILLIPS,071,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"9,471,000"
MONTANA,30,PHILLIPS,071,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,257
MONTANA,30,PHILLIPS,071,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"11,267,000"
MONTANA,30,PHILLIPS,071,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"71,743,000"
MONTANA,30,PHILLIPS,071,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"161,220"
MONTANA,30,PHILLIPS,071,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,445
MONTANA,30,PHILLIPS,071,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"23,631,000"
MONTANA,30,PHILLIPS,071,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"53,104"
MONTANA,30,PHILLIPS,071,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,233
MONTANA,30,PHILLIPS,071,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"76,901"
MONTANA,30,PHILLIPS,071,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,221
MONTANA,30,PHILLIPS,071,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"51,568"
MONTANA,30,PHILLIPS,071,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,6
MONTANA,30,PHILLIPS,071,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,24
MONTANA,30,PHILLIPS,071,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,236
MONTANA,30,PHILLIPS,071,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"51,317"
MONTANA,30,PHILLIPS,071,HOGS,HOGS - OPERATIONS WITH INVENTORY,,2
MONTANA,30,PHILLIPS,071,HOGS,HOGS - INVENTORY,,(D)
MONTANA,30,PHILLIPS,071,HOGS,HOGS - OPERATIONS WITH SALES,,5
MONTANA,30,PHILLIPS,071,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,PHILLIPS,071,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,23
MONTANA,30,PHILLIPS,071,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"2,829"
MONTANA,30,PHILLIPS,071,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,11
MONTANA,30,PHILLIPS,071,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,342
MONTANA,30,PHILLIPS,071,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,4
MONTANA,30,PHILLIPS,071,CORN,"CORN, GRAIN - ACRES HARVESTED",,353
MONTANA,30,PHILLIPS,071,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"25,520"
MONTANA,30,PHILLIPS,071,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,3
MONTANA,30,PHILLIPS,071,CORN,"CORN, SILAGE - ACRES HARVESTED",,554
MONTANA,30,PHILLIPS,071,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"8,448"
MONTANA,30,PHILLIPS,071,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,105
MONTANA,30,PHILLIPS,071,WHEAT,WHEAT - ACRES HARVESTED,,"117,352"
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"2,282,189"
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,29
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"16,350"
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"218,529"
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,88
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"81,089"
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"1,429,231"
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,34
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"19,913"
MONTANA,30,PHILLIPS,071,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"634,429"
MONTANA,30,PHILLIPS,071,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,3
MONTANA,30,PHILLIPS,071,OATS,OATS - ACRES HARVESTED,,(D)
MONTANA,30,PHILLIPS,071,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"6,893"
MONTANA,30,PHILLIPS,071,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,19
MONTANA,30,PHILLIPS,071,BARLEY,BARLEY - ACRES HARVESTED,,"5,498"
MONTANA,30,PHILLIPS,071,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"205,989"
MONTANA,30,PHILLIPS,071,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,4
MONTANA,30,PHILLIPS,071,SOYBEANS,SOYBEANS - ACRES HARVESTED,,122
MONTANA,30,PHILLIPS,071,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"3,640"
MONTANA,30,PHILLIPS,071,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,242
MONTANA,30,PHILLIPS,071,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"78,515"
MONTANA,30,PHILLIPS,071,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"111,291"
MONTANA,30,PHILLIPS,071,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,445
