state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,PONDERA,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,486
MONTANA,30,PONDERA,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),15
MONTANA,30,PONDERA,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),53
MONTANA,30,PONDERA,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),71
MONTANA,30,PONDERA,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),98
MONTANA,30,PONDERA,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),55
MONTANA,30,PONDERA,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",194
MONTANA,30,PONDERA,073,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"804,578"
MONTANA,30,PONDERA,073,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,656"
MONTANA,30,PONDERA,073,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,530
MONTANA,30,PONDERA,073,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,998,397"
MONTANA,30,PONDERA,073,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,207"
MONTANA,30,PONDERA,073,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"131,857,000"
MONTANA,30,PONDERA,073,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"272,432"
MONTANA,30,PONDERA,073,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,380
MONTANA,30,PONDERA,073,AG LAND,"AG LAND, CROPLAND - ACRES",,"551,139"
MONTANA,30,PONDERA,073,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,311
MONTANA,30,PONDERA,073,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"326,318"
MONTANA,30,PONDERA,073,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,194
MONTANA,30,PONDERA,073,AG LAND,"AG LAND, IRRIGATED - ACRES",,"69,824"
MONTANA,30,PONDERA,073,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"111,526,000"
