state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,325
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),6
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),23
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),23
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),36
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),28
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",209
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,626,630"
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"5,005"
MONTANA,30,POWDER RIVER,075,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"2,400"
MONTANA,30,POWDER RIVER,075,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,755,267"
MONTANA,30,POWDER RIVER,075,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,551
MONTANA,30,POWDER RIVER,075,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"72,706,000"
MONTANA,30,POWDER RIVER,075,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"223,710"
MONTANA,30,POWDER RIVER,075,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,217
MONTANA,30,POWDER RIVER,075,AG LAND,"AG LAND, CROPLAND - ACRES",,"145,709"
MONTANA,30,POWDER RIVER,075,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,186
MONTANA,30,POWDER RIVER,075,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"90,600"
MONTANA,30,POWDER RIVER,075,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,43
MONTANA,30,POWDER RIVER,075,AG LAND,"AG LAND, IRRIGATED - ACRES",,"15,972"
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"62,094,000"
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"191,059"
MONTANA,30,POWDER RIVER,075,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,063,000"
MONTANA,30,POWDER RIVER,075,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"59,031,000"
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",50
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",9
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",15
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",18
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",27
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",31
MONTANA,30,POWDER RIVER,075,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",175
MONTANA,30,POWDER RIVER,075,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,157
MONTANA,30,POWDER RIVER,075,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,797,000"
MONTANA,30,POWDER RIVER,075,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,185
MONTANA,30,POWDER RIVER,075,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"3,954,000"
MONTANA,30,POWDER RIVER,075,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"52,337,000"
MONTANA,30,POWDER RIVER,075,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"161,036"
MONTANA,30,POWDER RIVER,075,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,325
MONTANA,30,POWDER RIVER,075,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"16,508,000"
MONTANA,30,POWDER RIVER,075,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"50,795"
MONTANA,30,POWDER RIVER,075,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,249
MONTANA,30,POWDER RIVER,075,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"84,944"
MONTANA,30,POWDER RIVER,075,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,215
MONTANA,30,POWDER RIVER,075,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"49,046"
MONTANA,30,POWDER RIVER,075,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,15
MONTANA,30,POWDER RIVER,075,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,19
MONTANA,30,POWDER RIVER,075,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,248
MONTANA,30,POWDER RIVER,075,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"61,063"
MONTANA,30,POWDER RIVER,075,HOGS,HOGS - OPERATIONS WITH INVENTORY,,3
MONTANA,30,POWDER RIVER,075,HOGS,HOGS - INVENTORY,,36
MONTANA,30,POWDER RIVER,075,HOGS,HOGS - OPERATIONS WITH SALES,,6
MONTANA,30,POWDER RIVER,075,HOGS,"HOGS - SALES, MEASURED IN HEAD",,23
MONTANA,30,POWDER RIVER,075,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,54
MONTANA,30,POWDER RIVER,075,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"10,620"
MONTANA,30,POWDER RIVER,075,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,32
MONTANA,30,POWDER RIVER,075,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,538
MONTANA,30,POWDER RIVER,075,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,2
MONTANA,30,POWDER RIVER,075,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
MONTANA,30,POWDER RIVER,075,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
MONTANA,30,POWDER RIVER,075,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,12
MONTANA,30,POWDER RIVER,075,WHEAT,WHEAT - ACRES HARVESTED,,"2,426"
MONTANA,30,POWDER RIVER,075,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"77,151"
MONTANA,30,POWDER RIVER,075,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,3
MONTANA,30,POWDER RIVER,075,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,318
MONTANA,30,POWDER RIVER,075,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"12,234"
MONTANA,30,POWDER RIVER,075,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,11
