state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,POWELL,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,254
MONTANA,30,POWELL,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),23
MONTANA,30,POWELL,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),39
MONTANA,30,POWELL,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),45
MONTANA,30,POWELL,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),39
MONTANA,30,POWELL,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),35
MONTANA,30,POWELL,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",73
MONTANA,30,POWELL,077,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"572,388"
MONTANA,30,POWELL,077,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,253"
MONTANA,30,POWELL,077,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,305
MONTANA,30,POWELL,077,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,917,797"
MONTANA,30,POWELL,077,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,295"
MONTANA,30,POWELL,077,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"34,295,000"
MONTANA,30,POWELL,077,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"135,021"
MONTANA,30,POWELL,077,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,146
MONTANA,30,POWELL,077,AG LAND,"AG LAND, CROPLAND - ACRES",,"57,950"
MONTANA,30,POWELL,077,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,132
MONTANA,30,POWELL,077,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"44,961"
MONTANA,30,POWELL,077,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,134
MONTANA,30,POWELL,077,AG LAND,"AG LAND, IRRIGATED - ACRES",,"51,743"
MONTANA,30,POWELL,077,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"31,845,000"
MONTANA,30,POWELL,077,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"125,372"
MONTANA,30,POWELL,077,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"6,533,000"
MONTANA,30,POWELL,077,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"25,311,000"
MONTANA,30,POWELL,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,POWELL,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",90
MONTANA,30,POWELL,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",19
MONTANA,30,POWELL,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",25
MONTANA,30,POWELL,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",19
MONTANA,30,POWELL,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",19
MONTANA,30,POWELL,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",18
MONTANA,30,POWELL,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",64
MONTANA,30,POWELL,077,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,59
MONTANA,30,POWELL,077,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"377,000"
MONTANA,30,POWELL,077,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,95
MONTANA,30,POWELL,077,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,272,000"
MONTANA,30,POWELL,077,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"26,112,000"
MONTANA,30,POWELL,077,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"102,804"
MONTANA,30,POWELL,077,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,254
MONTANA,30,POWELL,077,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"7,382,000"
MONTANA,30,POWELL,077,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"29,061"
MONTANA,30,POWELL,077,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,118
MONTANA,30,POWELL,077,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"35,243"
MONTANA,30,POWELL,077,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,112
MONTANA,30,POWELL,077,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
MONTANA,30,POWELL,077,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,8
MONTANA,30,POWELL,077,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
MONTANA,30,POWELL,077,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,125
MONTANA,30,POWELL,077,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"24,357"
MONTANA,30,POWELL,077,HOGS,HOGS - OPERATIONS WITH INVENTORY,,6
MONTANA,30,POWELL,077,HOGS,HOGS - INVENTORY,,32
MONTANA,30,POWELL,077,HOGS,HOGS - OPERATIONS WITH SALES,,6
MONTANA,30,POWELL,077,HOGS,"HOGS - SALES, MEASURED IN HEAD",,171
MONTANA,30,POWELL,077,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,22
MONTANA,30,POWELL,077,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,495
MONTANA,30,POWELL,077,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,36
MONTANA,30,POWELL,077,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,736
MONTANA,30,POWELL,077,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,2
MONTANA,30,POWELL,077,OATS,OATS - ACRES HARVESTED,,(D)
MONTANA,30,POWELL,077,OATS,"OATS - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,POWELL,077,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,3
MONTANA,30,POWELL,077,BARLEY,BARLEY - ACRES HARVESTED,,680
MONTANA,30,POWELL,077,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"49,200"
MONTANA,30,POWELL,077,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,127
MONTANA,30,POWELL,077,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"44,182"
MONTANA,30,POWELL,077,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"111,179"
MONTANA,30,POWELL,077,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,2
MONTANA,30,POWELL,077,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
MONTANA,30,POWELL,077,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,2
MONTANA,30,POWELL,077,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,(D)
MONTANA,30,POWELL,077,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,254
