state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,179
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),4
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),4
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),24
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),16
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),13
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",118
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"747,256"
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,175"
MONTANA,30,PRAIRIE,079,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,800"
MONTANA,30,PRAIRIE,079,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,229,966"
MONTANA,30,PRAIRIE,079,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,774
MONTANA,30,PRAIRIE,079,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"29,974,000"
MONTANA,30,PRAIRIE,079,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"170,306"
MONTANA,30,PRAIRIE,079,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,138
MONTANA,30,PRAIRIE,079,AG LAND,"AG LAND, CROPLAND - ACRES",,"129,818"
MONTANA,30,PRAIRIE,079,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,97
MONTANA,30,PRAIRIE,079,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"67,210"
MONTANA,30,PRAIRIE,079,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,51
MONTANA,30,PRAIRIE,079,AG LAND,"AG LAND, IRRIGATED - ACRES",,"14,604"
MONTANA,30,PRAIRIE,079,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"43,300,000"
MONTANA,30,PRAIRIE,079,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"241,899"
MONTANA,30,PRAIRIE,079,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"10,801,000"
