state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,ROOSEVELT,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,501
MONTANA,30,ROOSEVELT,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),37
MONTANA,30,ROOSEVELT,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),67
MONTANA,30,ROOSEVELT,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),79
MONTANA,30,ROOSEVELT,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),58
MONTANA,30,ROOSEVELT,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",260
MONTANA,30,ROOSEVELT,085,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,307,366"
MONTANA,30,ROOSEVELT,085,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,610"
MONTANA,30,ROOSEVELT,085,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,060"
MONTANA,30,ROOSEVELT,085,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,883,016"
MONTANA,30,ROOSEVELT,085,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,722
MONTANA,30,ROOSEVELT,085,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"133,387,000"
MONTANA,30,ROOSEVELT,085,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"268,384"
MONTANA,30,ROOSEVELT,085,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,461
MONTANA,30,ROOSEVELT,085,AG LAND,"AG LAND, CROPLAND - ACRES",,"757,316"
