state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,414
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),51
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),61
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),60
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),47
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",184
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"2,732,466"
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"6,600"
MONTANA,30,ROSEBUD,087,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,673
MONTANA,30,ROSEBUD,087,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,835,966"
MONTANA,30,ROSEBUD,087,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,430
MONTANA,30,ROSEBUD,087,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"66,808,000"
MONTANA,30,ROSEBUD,087,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"161,371"
