state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,458
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),14
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),7
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),54
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),78
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),49
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",256
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,064,068"
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,323"
MONTANA,30,SHERIDAN,091,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,369"
MONTANA,30,SHERIDAN,091,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,611,743"
MONTANA,30,SHERIDAN,091,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,694
MONTANA,30,SHERIDAN,091,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"201,255,000"
MONTANA,30,SHERIDAN,091,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"443,294"
MONTANA,30,SHERIDAN,091,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,402
MONTANA,30,SHERIDAN,091,AG LAND,"AG LAND, CROPLAND - ACRES",,"786,144"
MONTANA,30,SHERIDAN,091,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,312
MONTANA,30,SHERIDAN,091,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"627,971"
MONTANA,30,SHERIDAN,091,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,18
MONTANA,30,SHERIDAN,091,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,576"
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"70,570,000"
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"154,083"
MONTANA,30,SHERIDAN,091,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"58,429,000"
MONTANA,30,SHERIDAN,091,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"12,141,000"
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",121
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",10
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",18
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",39
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",35
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",54
MONTANA,30,SHERIDAN,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",181
MONTANA,30,SHERIDAN,091,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,369
MONTANA,30,SHERIDAN,091,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"11,702,000"
MONTANA,30,SHERIDAN,091,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,357
MONTANA,30,SHERIDAN,091,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"26,840,000"
MONTANA,30,SHERIDAN,091,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"86,837,000"
MONTANA,30,SHERIDAN,091,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"189,601"
