state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,142
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),15
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),50
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),30
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),19
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),12
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",16
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"60,306"
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,425
MONTANA,30,SILVER BOW,093,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,100
MONTANA,30,SILVER BOW,093,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"956,028"
MONTANA,30,SILVER BOW,093,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,251"
MONTANA,30,SILVER BOW,093,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"7,498,000"
MONTANA,30,SILVER BOW,093,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"52,803"
MONTANA,30,SILVER BOW,093,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,42
MONTANA,30,SILVER BOW,093,AG LAND,"AG LAND, CROPLAND - ACRES",,"3,664"
MONTANA,30,SILVER BOW,093,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,36
MONTANA,30,SILVER BOW,093,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"2,482"
MONTANA,30,SILVER BOW,093,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,26
