state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,301
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),15
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),43
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),60
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),44
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),28
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",111
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"826,134"
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,745"
MONTANA,30,SWEET GRASS,097,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,320
MONTANA,30,SWEET GRASS,097,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,117,975"
MONTANA,30,SWEET GRASS,097,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,136"
MONTANA,30,SWEET GRASS,097,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"36,654,000"
MONTANA,30,SWEET GRASS,097,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"121,775"
MONTANA,30,SWEET GRASS,097,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,166
MONTANA,30,SWEET GRASS,097,AG LAND,"AG LAND, CROPLAND - ACRES",,"57,171"
MONTANA,30,SWEET GRASS,097,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,154
MONTANA,30,SWEET GRASS,097,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"39,175"
MONTANA,30,SWEET GRASS,097,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,155
MONTANA,30,SWEET GRASS,097,AG LAND,"AG LAND, IRRIGATED - ACRES",,"38,786"
MONTANA,30,SWEET GRASS,097,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"25,698,000"
MONTANA,30,SWEET GRASS,097,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"85,375"
MONTANA,30,SWEET GRASS,097,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,133,000"
MONTANA,30,SWEET GRASS,097,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"22,565,000"
MONTANA,30,SWEET GRASS,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,SWEET GRASS,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",95
MONTANA,30,SWEET GRASS,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",16
MONTANA,30,SWEET GRASS,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",35
