state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,TETON,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,686
MONTANA,30,TETON,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),37
MONTANA,30,TETON,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),125
MONTANA,30,TETON,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),111
MONTANA,30,TETON,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),157
MONTANA,30,TETON,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),76
MONTANA,30,TETON,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",180
MONTANA,30,TETON,099,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"887,436"
MONTANA,30,TETON,099,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,294"
MONTANA,30,TETON,099,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,315
MONTANA,30,TETON,099,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,533,701"
MONTANA,30,TETON,099,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,186"
MONTANA,30,TETON,099,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"108,731,000"
MONTANA,30,TETON,099,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"159,196"
MONTANA,30,TETON,099,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,537
MONTANA,30,TETON,099,AG LAND,"AG LAND, CROPLAND - ACRES",,"460,072"
MONTANA,30,TETON,099,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,399
MONTANA,30,TETON,099,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"281,754"
MONTANA,30,TETON,099,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,340
MONTANA,30,TETON,099,AG LAND,"AG LAND, IRRIGATED - ACRES",,"93,837"
MONTANA,30,TETON,099,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"107,206,000"
MONTANA,30,TETON,099,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"156,277"
MONTANA,30,TETON,099,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"68,719,000"
MONTANA,30,TETON,099,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"38,487,000"
MONTANA,30,TETON,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,TETON,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",268
MONTANA,30,TETON,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",21
MONTANA,30,TETON,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",41
MONTANA,30,TETON,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",35
MONTANA,30,TETON,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",51
MONTANA,30,TETON,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",71
MONTANA,30,TETON,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",199
MONTANA,30,TETON,099,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,391
MONTANA,30,TETON,099,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"8,367,000"
MONTANA,30,TETON,099,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,392
MONTANA,30,TETON,099,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"8,571,000"
MONTANA,30,TETON,099,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"99,333,000"
MONTANA,30,TETON,099,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"144,800"
MONTANA,30,TETON,099,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,686
MONTANA,30,TETON,099,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"24,811,000"
MONTANA,30,TETON,099,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"36,168"
MONTANA,30,TETON,099,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,222
MONTANA,30,TETON,099,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"46,002"
MONTANA,30,TETON,099,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,196
