state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,TOOLE,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,362
MONTANA,30,TOOLE,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),5
MONTANA,30,TOOLE,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),11
MONTANA,30,TOOLE,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),31
MONTANA,30,TOOLE,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),44
MONTANA,30,TOOLE,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),44
MONTANA,30,TOOLE,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",227
MONTANA,30,TOOLE,101,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,094,910"
MONTANA,30,TOOLE,101,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,025"
MONTANA,30,TOOLE,101,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,800"
MONTANA,30,TOOLE,101,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,653,458"
MONTANA,30,TOOLE,101,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,877
MONTANA,30,TOOLE,101,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"101,060,000"
MONTANA,30,TOOLE,101,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"280,722"
MONTANA,30,TOOLE,101,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,323
MONTANA,30,TOOLE,101,AG LAND,"AG LAND, CROPLAND - ACRES",,"734,547"
MONTANA,30,TOOLE,101,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,236
MONTANA,30,TOOLE,101,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"416,771"
MONTANA,30,TOOLE,101,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,32
MONTANA,30,TOOLE,101,AG LAND,"AG LAND, IRRIGATED - ACRES",,"5,327"
MONTANA,30,TOOLE,101,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"84,182,000"
MONTANA,30,TOOLE,101,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"232,547"
MONTANA,30,TOOLE,101,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"66,928,000"
MONTANA,30,TOOLE,101,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"17,254,000"
MONTANA,30,TOOLE,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,TOOLE,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",115
MONTANA,30,TOOLE,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",9
MONTANA,30,TOOLE,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",4
MONTANA,30,TOOLE,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",17
MONTANA,30,TOOLE,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",32
