state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,VALLEY,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,557
MONTANA,30,VALLEY,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
MONTANA,30,VALLEY,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),41
MONTANA,30,VALLEY,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),76
MONTANA,30,VALLEY,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),97
MONTANA,30,VALLEY,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),62
MONTANA,30,VALLEY,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",270
MONTANA,30,VALLEY,105,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,630,027"
MONTANA,30,VALLEY,105,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,926"
MONTANA,30,VALLEY,105,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,872
MONTANA,30,VALLEY,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,883,822"
MONTANA,30,VALLEY,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,644
MONTANA,30,VALLEY,105,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"152,199,000"
MONTANA,30,VALLEY,105,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"274,232"
MONTANA,30,VALLEY,105,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,478
MONTANA,30,VALLEY,105,AG LAND,"AG LAND, CROPLAND - ACRES",,"779,166"
MONTANA,30,VALLEY,105,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,357
MONTANA,30,VALLEY,105,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"525,680"
MONTANA,30,VALLEY,105,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,135
MONTANA,30,VALLEY,105,AG LAND,"AG LAND, IRRIGATED - ACRES",,"45,099"
MONTANA,30,VALLEY,105,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"96,553,000"
MONTANA,30,VALLEY,105,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"173,344"
MONTANA,30,VALLEY,105,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"53,295,000"
MONTANA,30,VALLEY,105,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"43,258,000"
MONTANA,30,VALLEY,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,VALLEY,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",150
MONTANA,30,VALLEY,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",28
MONTANA,30,VALLEY,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",32
MONTANA,30,VALLEY,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",34
MONTANA,30,VALLEY,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",46
MONTANA,30,VALLEY,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",52
MONTANA,30,VALLEY,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",215
MONTANA,30,VALLEY,105,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,417
MONTANA,30,VALLEY,105,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"13,469,000"
MONTANA,30,VALLEY,105,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,316
MONTANA,30,VALLEY,105,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"25,998,000"
MONTANA,30,VALLEY,105,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"112,756,000"
MONTANA,30,VALLEY,105,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"202,434"
MONTANA,30,VALLEY,105,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,557
MONTANA,30,VALLEY,105,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"23,263,000"
MONTANA,30,VALLEY,105,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"41,765"
MONTANA,30,VALLEY,105,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,200
MONTANA,30,VALLEY,105,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"61,831"
MONTANA,30,VALLEY,105,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,185
MONTANA,30,VALLEY,105,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
MONTANA,30,VALLEY,105,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,1
