state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,174
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),9
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),11
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),22
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),23
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),20
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",89
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"860,203"
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,944"
MONTANA,30,WHEATLAND,107,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,000"
MONTANA,30,WHEATLAND,107,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,425,165"
MONTANA,30,WHEATLAND,107,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,693
MONTANA,30,WHEATLAND,107,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"34,696,000"
MONTANA,30,WHEATLAND,107,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"199,401"
MONTANA,30,WHEATLAND,107,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,106
MONTANA,30,WHEATLAND,107,AG LAND,"AG LAND, CROPLAND - ACRES",,"138,771"
MONTANA,30,WHEATLAND,107,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,89
MONTANA,30,WHEATLAND,107,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"81,579"
MONTANA,30,WHEATLAND,107,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,68
MONTANA,30,WHEATLAND,107,AG LAND,"AG LAND, IRRIGATED - ACRES",,"23,019"
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"43,103,000"
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"247,719"
MONTANA,30,WHEATLAND,107,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"8,753,000"
MONTANA,30,WHEATLAND,107,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"34,350,000"
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",28
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",9
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",10
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",24
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",18
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",26
MONTANA,30,WHEATLAND,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",59
MONTANA,30,WHEATLAND,107,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,88
MONTANA,30,WHEATLAND,107,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,221,000"
MONTANA,30,WHEATLAND,107,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,84
MONTANA,30,WHEATLAND,107,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,359,000"
MONTANA,30,WHEATLAND,107,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"34,999,000"
MONTANA,30,WHEATLAND,107,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"201,146"
MONTANA,30,WHEATLAND,107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,174
MONTANA,30,WHEATLAND,107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"11,684,000"
MONTANA,30,WHEATLAND,107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"67,150"
MONTANA,30,WHEATLAND,107,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,109
MONTANA,30,WHEATLAND,107,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"43,006"
MONTANA,30,WHEATLAND,107,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,98
MONTANA,30,WHEATLAND,107,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
MONTANA,30,WHEATLAND,107,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,4
MONTANA,30,WHEATLAND,107,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
MONTANA,30,WHEATLAND,107,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,106
MONTANA,30,WHEATLAND,107,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"24,106"
MONTANA,30,WHEATLAND,107,HOGS,HOGS - OPERATIONS WITH INVENTORY,,3
MONTANA,30,WHEATLAND,107,HOGS,HOGS - INVENTORY,,"17,083"
MONTANA,30,WHEATLAND,107,HOGS,HOGS - OPERATIONS WITH SALES,,3
MONTANA,30,WHEATLAND,107,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"24,010"
MONTANA,30,WHEATLAND,107,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,24
MONTANA,30,WHEATLAND,107,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"12,523"
MONTANA,30,WHEATLAND,107,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,17
MONTANA,30,WHEATLAND,107,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,248
MONTANA,30,WHEATLAND,107,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,3
MONTANA,30,WHEATLAND,107,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,"16,700"
MONTANA,30,WHEATLAND,107,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,WHEATLAND,107,CORN,"CORN, GRAIN - ACRES HARVESTED",,(D)
MONTANA,30,WHEATLAND,107,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,WHEATLAND,107,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,WHEATLAND,107,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
MONTANA,30,WHEATLAND,107,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
MONTANA,30,WHEATLAND,107,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,14
MONTANA,30,WHEATLAND,107,WHEAT,WHEAT - ACRES HARVESTED,,"26,943"
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"836,372"
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,3
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"2,611"
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"99,326"
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,11
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"7,165"
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"149,490"
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,10
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"17,167"
MONTANA,30,WHEATLAND,107,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"587,556"
MONTANA,30,WHEATLAND,107,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,3
MONTANA,30,WHEATLAND,107,OATS,OATS - ACRES HARVESTED,,93
MONTANA,30,WHEATLAND,107,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"3,300"
MONTANA,30,WHEATLAND,107,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,7
MONTANA,30,WHEATLAND,107,BARLEY,BARLEY - ACRES HARVESTED,,"6,575"
MONTANA,30,WHEATLAND,107,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"311,180"
MONTANA,30,WHEATLAND,107,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,WHEATLAND,107,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,(D)
MONTANA,30,WHEATLAND,107,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,(D)
MONTANA,30,WHEATLAND,107,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,88
MONTANA,30,WHEATLAND,107,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"38,557"
MONTANA,30,WHEATLAND,107,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"60,427"
MONTANA,30,WHEATLAND,107,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,4
MONTANA,30,WHEATLAND,107,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,54
MONTANA,30,WHEATLAND,107,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,3
MONTANA,30,WHEATLAND,107,POTATOES,POTATOES - ACRES HARVESTED,,30
MONTANA,30,WHEATLAND,107,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,174
