state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,314"
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),201
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),402
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),262
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),172
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),86
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",191
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,602,794"
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,220"
MONTANA,30,YELLOWSTONE,111,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,60
MONTANA,30,YELLOWSTONE,111,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,223,832"
MONTANA,30,YELLOWSTONE,111,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,003"
MONTANA,30,YELLOWSTONE,111,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"136,561,000"
MONTANA,30,YELLOWSTONE,111,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"104,007"
MONTANA,30,YELLOWSTONE,111,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,773
MONTANA,30,YELLOWSTONE,111,AG LAND,"AG LAND, CROPLAND - ACRES",,"298,985"
MONTANA,30,YELLOWSTONE,111,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,665
MONTANA,30,YELLOWSTONE,111,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"186,765"
MONTANA,30,YELLOWSTONE,111,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,641
MONTANA,30,YELLOWSTONE,111,AG LAND,"AG LAND, IRRIGATED - ACRES",,"76,822"
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"135,287,000"
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"102,958"
MONTANA,30,YELLOWSTONE,111,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"43,078,000"
MONTANA,30,YELLOWSTONE,111,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"92,209,000"
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",571
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",98
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",122
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",149
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",107
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",66
MONTANA,30,YELLOWSTONE,111,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",201
MONTANA,30,YELLOWSTONE,111,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,295
MONTANA,30,YELLOWSTONE,111,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"5,615,000"
MONTANA,30,YELLOWSTONE,111,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,496
MONTANA,30,YELLOWSTONE,111,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"8,851,000"
MONTANA,30,YELLOWSTONE,111,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"127,316,000"
MONTANA,30,YELLOWSTONE,111,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"96,892"
MONTANA,30,YELLOWSTONE,111,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,"1,314"
MONTANA,30,YELLOWSTONE,111,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"22,437,000"
MONTANA,30,YELLOWSTONE,111,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"17,076"
MONTANA,30,YELLOWSTONE,111,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,540
MONTANA,30,YELLOWSTONE,111,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"110,710"
MONTANA,30,YELLOWSTONE,111,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,445
MONTANA,30,YELLOWSTONE,111,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"36,827"
MONTANA,30,YELLOWSTONE,111,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,18
MONTANA,30,YELLOWSTONE,111,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,330
MONTANA,30,YELLOWSTONE,111,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,500
MONTANA,30,YELLOWSTONE,111,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"84,590"
MONTANA,30,YELLOWSTONE,111,HOGS,HOGS - OPERATIONS WITH INVENTORY,,31
MONTANA,30,YELLOWSTONE,111,HOGS,HOGS - INVENTORY,,(D)
MONTANA,30,YELLOWSTONE,111,HOGS,HOGS - OPERATIONS WITH SALES,,27
MONTANA,30,YELLOWSTONE,111,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,YELLOWSTONE,111,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,60
MONTANA,30,YELLOWSTONE,111,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"2,082"
MONTANA,30,YELLOWSTONE,111,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,193
