state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,380
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),7
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),29
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),82
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),75
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),49
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",138
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"599,579"
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,578"
NORTH DAKOTA,38,ADAMS,001,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,480
NORTH DAKOTA,38,ADAMS,001,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,682,952"
NORTH DAKOTA,38,ADAMS,001,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,067"
NORTH DAKOTA,38,ADAMS,001,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"112,887,000"
NORTH DAKOTA,38,ADAMS,001,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"297,071"
NORTH DAKOTA,38,ADAMS,001,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,334
NORTH DAKOTA,38,ADAMS,001,AG LAND,"AG LAND, CROPLAND - ACRES",,"388,019"
NORTH DAKOTA,38,ADAMS,001,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,232
NORTH DAKOTA,38,ADAMS,001,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"289,199"
NORTH DAKOTA,38,ADAMS,001,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"60,396,000"
NORTH DAKOTA,38,ADAMS,001,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"158,938"
NORTH DAKOTA,38,ADAMS,001,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"30,430,000"
NORTH DAKOTA,38,ADAMS,001,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"29,966,000"
NORTH DAKOTA,38,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",146
NORTH DAKOTA,38,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",23
NORTH DAKOTA,38,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",12
NORTH DAKOTA,38,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",24
