state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,749
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),18
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),90
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),173
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),131
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),80
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",257
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"952,048"
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,271"
NORTH DAKOTA,38,BARNES,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,360
NORTH DAKOTA,38,BARNES,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,937,290"
NORTH DAKOTA,38,BARNES,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,311"
NORTH DAKOTA,38,BARNES,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"296,301,000"
NORTH DAKOTA,38,BARNES,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"395,596"
NORTH DAKOTA,38,BARNES,003,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,679
NORTH DAKOTA,38,BARNES,003,AG LAND,"AG LAND, CROPLAND - ACRES",,"819,825"
NORTH DAKOTA,38,BARNES,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,503
NORTH DAKOTA,38,BARNES,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"722,914"
NORTH DAKOTA,38,BARNES,003,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,9
NORTH DAKOTA,38,BARNES,003,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,481"
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"278,736,000"
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"372,144"
NORTH DAKOTA,38,BARNES,003,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"257,603,000"
NORTH DAKOTA,38,BARNES,003,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"21,132,000"
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",258
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",28
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",21
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",36
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",48
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",34
NORTH DAKOTA,38,BARNES,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",324
NORTH DAKOTA,38,BARNES,003,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,586
