state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,BILLINGS,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,204
NORTH DAKOTA,38,BILLINGS,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),15
NORTH DAKOTA,38,BILLINGS,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),18
NORTH DAKOTA,38,BILLINGS,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),30
NORTH DAKOTA,38,BILLINGS,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),31
NORTH DAKOTA,38,BILLINGS,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",110
NORTH DAKOTA,38,BILLINGS,007,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"734,722"
NORTH DAKOTA,38,BILLINGS,007,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,602"
NORTH DAKOTA,38,BILLINGS,007,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,094"
NORTH DAKOTA,38,BILLINGS,007,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,308,786"
NORTH DAKOTA,38,BILLINGS,007,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,919
NORTH DAKOTA,38,BILLINGS,007,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"48,370,000"
NORTH DAKOTA,38,BILLINGS,007,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"237,105"
NORTH DAKOTA,38,BILLINGS,007,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,163
