state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,356
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),8
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),23
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),68
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),63
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),57
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",137
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"519,380"
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,459"
NORTH DAKOTA,38,BURKE,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,600
NORTH DAKOTA,38,BURKE,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,537,171"
NORTH DAKOTA,38,BURKE,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,054"
NORTH DAKOTA,38,BURKE,013,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"107,999,000"
NORTH DAKOTA,38,BURKE,013,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"303,368"
NORTH DAKOTA,38,BURKE,013,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,317
NORTH DAKOTA,38,BURKE,013,AG LAND,"AG LAND, CROPLAND - ACRES",,"393,351"
NORTH DAKOTA,38,BURKE,013,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,199
NORTH DAKOTA,38,BURKE,013,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"315,550"
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"71,578,000"
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"201,062"
NORTH DAKOTA,38,BURKE,013,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"61,157,000"
NORTH DAKOTA,38,BURKE,013,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"10,421,000"
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",148
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",5
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",9
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",17
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",22
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",34
NORTH DAKOTA,38,BURKE,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",121
NORTH DAKOTA,38,BURKE,013,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,314
NORTH DAKOTA,38,BURKE,013,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"7,985,000"
NORTH DAKOTA,38,BURKE,013,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,224
