state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,785
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),34
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),201
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),207
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),76
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),81
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",186
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"824,199"
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,050"
NORTH DAKOTA,38,BURLEIGH,015,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,155
NORTH DAKOTA,38,BURLEIGH,015,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,994,601"
NORTH DAKOTA,38,BURLEIGH,015,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,900"
NORTH DAKOTA,38,BURLEIGH,015,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"157,567,000"
NORTH DAKOTA,38,BURLEIGH,015,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"200,722"
NORTH DAKOTA,38,BURLEIGH,015,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,567
NORTH DAKOTA,38,BURLEIGH,015,AG LAND,"AG LAND, CROPLAND - ACRES",,"423,352"
NORTH DAKOTA,38,BURLEIGH,015,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,503
NORTH DAKOTA,38,BURLEIGH,015,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"341,199"
NORTH DAKOTA,38,BURLEIGH,015,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,32
NORTH DAKOTA,38,BURLEIGH,015,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,001"
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"134,131,000"
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"170,867"
NORTH DAKOTA,38,BURLEIGH,015,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"65,405,000"
NORTH DAKOTA,38,BURLEIGH,015,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"68,725,000"
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",300
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",50
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",46
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",96
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",39
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",62
NORTH DAKOTA,38,BURLEIGH,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",192
NORTH DAKOTA,38,BURLEIGH,015,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,415
NORTH DAKOTA,38,BURLEIGH,015,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"6,674,000"
NORTH DAKOTA,38,BURLEIGH,015,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,421
NORTH DAKOTA,38,BURLEIGH,015,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"10,233,000"
NORTH DAKOTA,38,BURLEIGH,015,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"106,464,000"
NORTH DAKOTA,38,BURLEIGH,015,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"135,623"
NORTH DAKOTA,38,BURLEIGH,015,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,785
NORTH DAKOTA,38,BURLEIGH,015,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"44,573,000"
NORTH DAKOTA,38,BURLEIGH,015,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"56,781"
