state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,784
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),35
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),122
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),117
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),85
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),57
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",368
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,126,085"
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,436"
NORTH DAKOTA,38,CASS,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,746
NORTH DAKOTA,38,CASS,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"5,339,580"
NORTH DAKOTA,38,CASS,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,718"
NORTH DAKOTA,38,CASS,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"436,769,000"
NORTH DAKOTA,38,CASS,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"557,103"
NORTH DAKOTA,38,CASS,017,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,727
