state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,523
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),5
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),26
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),77
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),75
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),54
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",286
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"928,239"
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,775"
NORTH DAKOTA,38,CAVALIER,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,120"
NORTH DAKOTA,38,CAVALIER,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,691,559"
NORTH DAKOTA,38,CAVALIER,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,080"
NORTH DAKOTA,38,CAVALIER,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"285,943,000"
NORTH DAKOTA,38,CAVALIER,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"546,736"
NORTH DAKOTA,38,CAVALIER,019,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,495
NORTH DAKOTA,38,CAVALIER,019,AG LAND,"AG LAND, CROPLAND - ACRES",,"877,208"
NORTH DAKOTA,38,CAVALIER,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,399
NORTH DAKOTA,38,CAVALIER,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"823,328"
NORTH DAKOTA,38,CAVALIER,019,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,8
NORTH DAKOTA,38,CAVALIER,019,AG LAND,"AG LAND, IRRIGATED - ACRES",,318
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"280,592,000"
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"536,506"
NORTH DAKOTA,38,CAVALIER,019,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"276,485,000"
NORTH DAKOTA,38,CAVALIER,019,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"4,108,000"
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",110
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",9
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",11
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",23
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",23
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",15
NORTH DAKOTA,38,CAVALIER,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",332
NORTH DAKOTA,38,CAVALIER,019,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,473
NORTH DAKOTA,38,CAVALIER,019,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"25,654,000"
NORTH DAKOTA,38,CAVALIER,019,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,397
NORTH DAKOTA,38,CAVALIER,019,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"19,710,000"
NORTH DAKOTA,38,CAVALIER,019,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"210,566,000"
NORTH DAKOTA,38,CAVALIER,019,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"402,612"
NORTH DAKOTA,38,CAVALIER,019,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,523
NORTH DAKOTA,38,CAVALIER,019,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"115,390,000"
NORTH DAKOTA,38,CAVALIER,019,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"220,631"
NORTH DAKOTA,38,CAVALIER,019,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,43
NORTH DAKOTA,38,CAVALIER,019,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"2,099"
NORTH DAKOTA,38,CAVALIER,019,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,43
NORTH DAKOTA,38,CAVALIER,019,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
NORTH DAKOTA,38,CAVALIER,019,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,2
NORTH DAKOTA,38,CAVALIER,019,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
NORTH DAKOTA,38,CAVALIER,019,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,43
NORTH DAKOTA,38,CAVALIER,019,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"1,168"
NORTH DAKOTA,38,CAVALIER,019,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,5
NORTH DAKOTA,38,CAVALIER,019,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,135
NORTH DAKOTA,38,CAVALIER,019,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,6
NORTH DAKOTA,38,CAVALIER,019,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,88
NORTH DAKOTA,38,CAVALIER,019,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,6
NORTH DAKOTA,38,CAVALIER,019,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,"1,167"
NORTH DAKOTA,38,CAVALIER,019,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,69
NORTH DAKOTA,38,CAVALIER,019,CORN,"CORN, GRAIN - ACRES HARVESTED",,"16,631"
NORTH DAKOTA,38,CAVALIER,019,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"2,029,675"
NORTH DAKOTA,38,CAVALIER,019,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,1
NORTH DAKOTA,38,CAVALIER,019,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
NORTH DAKOTA,38,CAVALIER,019,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
NORTH DAKOTA,38,CAVALIER,019,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,332
NORTH DAKOTA,38,CAVALIER,019,WHEAT,WHEAT - ACRES HARVESTED,,"295,858"
