state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,419
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),12
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),13
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),71
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),83
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),62
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",178
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"678,927"
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,620"
NORTH DAKOTA,38,DICKEY,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,750
NORTH DAKOTA,38,DICKEY,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,847,791"
NORTH DAKOTA,38,DICKEY,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,375"
NORTH DAKOTA,38,DICKEY,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"213,748,000"
NORTH DAKOTA,38,DICKEY,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"510,138"
NORTH DAKOTA,38,DICKEY,021,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,393
NORTH DAKOTA,38,DICKEY,021,AG LAND,"AG LAND, CROPLAND - ACRES",,"541,941"
NORTH DAKOTA,38,DICKEY,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,298
NORTH DAKOTA,38,DICKEY,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"455,957"
NORTH DAKOTA,38,DICKEY,021,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,31
NORTH DAKOTA,38,DICKEY,021,AG LAND,"AG LAND, IRRIGATED - ACRES",,"14,813"
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"225,092,000"
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"537,212"
NORTH DAKOTA,38,DICKEY,021,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"181,796,000"
NORTH DAKOTA,38,DICKEY,021,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"43,296,000"
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",105
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",11
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",12
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",24
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",17
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",23
NORTH DAKOTA,38,DICKEY,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",227
NORTH DAKOTA,38,DICKEY,021,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,340
NORTH DAKOTA,38,DICKEY,021,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"6,323,000"
NORTH DAKOTA,38,DICKEY,021,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,324
NORTH DAKOTA,38,DICKEY,021,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"18,519,000"
NORTH DAKOTA,38,DICKEY,021,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"191,443,000"
NORTH DAKOTA,38,DICKEY,021,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"456,904"
NORTH DAKOTA,38,DICKEY,021,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,419
NORTH DAKOTA,38,DICKEY,021,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"58,491,000"
NORTH DAKOTA,38,DICKEY,021,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"139,597"
NORTH DAKOTA,38,DICKEY,021,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,154
