state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,416
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),6
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),8
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),64
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),63
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),86
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",189
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"704,197"
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,693"
NORTH DAKOTA,38,DIVIDE,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,800
NORTH DAKOTA,38,DIVIDE,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,808,767"
NORTH DAKOTA,38,DIVIDE,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,069"
NORTH DAKOTA,38,DIVIDE,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"149,024,000"
NORTH DAKOTA,38,DIVIDE,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"358,232"
NORTH DAKOTA,38,DIVIDE,023,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,398
NORTH DAKOTA,38,DIVIDE,023,AG LAND,"AG LAND, CROPLAND - ACRES",,"538,723"
NORTH DAKOTA,38,DIVIDE,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,269
NORTH DAKOTA,38,DIVIDE,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"433,046"
NORTH DAKOTA,38,DIVIDE,023,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,17
NORTH DAKOTA,38,DIVIDE,023,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,265"
NORTH DAKOTA,38,DIVIDE,023,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"71,450,000"
NORTH DAKOTA,38,DIVIDE,023,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"171,754"
NORTH DAKOTA,38,DIVIDE,023,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"61,544,000"
NORTH DAKOTA,38,DIVIDE,023,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"9,906,000"
