state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,524
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),20
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),28
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),84
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),61
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),59
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",272
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,016,961"
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,941"
NORTH DAKOTA,38,DUNN,025,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,144"
NORTH DAKOTA,38,DUNN,025,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,225,966"
NORTH DAKOTA,38,DUNN,025,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,147"
NORTH DAKOTA,38,DUNN,025,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"155,816,000"
NORTH DAKOTA,38,DUNN,025,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"297,360"
NORTH DAKOTA,38,DUNN,025,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,431
NORTH DAKOTA,38,DUNN,025,AG LAND,"AG LAND, CROPLAND - ACRES",,"417,815"
NORTH DAKOTA,38,DUNN,025,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,379
NORTH DAKOTA,38,DUNN,025,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"315,667"
NORTH DAKOTA,38,DUNN,025,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,13
NORTH DAKOTA,38,DUNN,025,AG LAND,"AG LAND, IRRIGATED - ACRES",,788
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"77,605,000"
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"148,102"
NORTH DAKOTA,38,DUNN,025,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"27,704,000"
NORTH DAKOTA,38,DUNN,025,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"49,901,000"
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",100
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",36
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",18
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",40
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",44
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",67
NORTH DAKOTA,38,DUNN,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",219
NORTH DAKOTA,38,DUNN,025,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,346
NORTH DAKOTA,38,DUNN,025,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"6,276,000"
NORTH DAKOTA,38,DUNN,025,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,341
NORTH DAKOTA,38,DUNN,025,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"14,443,000"
NORTH DAKOTA,38,DUNN,025,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"77,345,000"
NORTH DAKOTA,38,DUNN,025,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"147,606"
NORTH DAKOTA,38,DUNN,025,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,524
NORTH DAKOTA,38,DUNN,025,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"20,979,000"
NORTH DAKOTA,38,DUNN,025,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"40,036"
NORTH DAKOTA,38,DUNN,025,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,309
NORTH DAKOTA,38,DUNN,025,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"70,169"
NORTH DAKOTA,38,DUNN,025,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,293
NORTH DAKOTA,38,DUNN,025,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"42,723"
NORTH DAKOTA,38,DUNN,025,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,4
NORTH DAKOTA,38,DUNN,025,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,4
NORTH DAKOTA,38,DUNN,025,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,314
NORTH DAKOTA,38,DUNN,025,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"46,746"
NORTH DAKOTA,38,DUNN,025,HOGS,HOGS - OPERATIONS WITH INVENTORY,,9
NORTH DAKOTA,38,DUNN,025,HOGS,HOGS - INVENTORY,,334
NORTH DAKOTA,38,DUNN,025,HOGS,HOGS - OPERATIONS WITH SALES,,10
NORTH DAKOTA,38,DUNN,025,HOGS,"HOGS - SALES, MEASURED IN HEAD",,351
NORTH DAKOTA,38,DUNN,025,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,17
NORTH DAKOTA,38,DUNN,025,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,699
NORTH DAKOTA,38,DUNN,025,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,19
NORTH DAKOTA,38,DUNN,025,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,437
NORTH DAKOTA,38,DUNN,025,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,1
NORTH DAKOTA,38,DUNN,025,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
NORTH DAKOTA,38,DUNN,025,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,37
NORTH DAKOTA,38,DUNN,025,CORN,"CORN, GRAIN - ACRES HARVESTED",,"14,639"
NORTH DAKOTA,38,DUNN,025,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"761,275"
NORTH DAKOTA,38,DUNN,025,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,34
NORTH DAKOTA,38,DUNN,025,CORN,"CORN, SILAGE - ACRES HARVESTED",,"5,573"
NORTH DAKOTA,38,DUNN,025,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"45,558"
NORTH DAKOTA,38,DUNN,025,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,126
NORTH DAKOTA,38,DUNN,025,WHEAT,WHEAT - ACRES HARVESTED,,"128,285"
NORTH DAKOTA,38,DUNN,025,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"2,715,297"
NORTH DAKOTA,38,DUNN,025,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,23
NORTH DAKOTA,38,DUNN,025,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"11,385"
NORTH DAKOTA,38,DUNN,025,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"259,860"
