state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,291
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),1
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),8
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),60
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),61
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),44
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",117
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"377,145"
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,296"
NORTH DAKOTA,38,EDDY,027,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,655
NORTH DAKOTA,38,EDDY,027,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,886,332"
NORTH DAKOTA,38,EDDY,027,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,455"
NORTH DAKOTA,38,EDDY,027,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"90,966,000"
NORTH DAKOTA,38,EDDY,027,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"312,599"
NORTH DAKOTA,38,EDDY,027,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,280
NORTH DAKOTA,38,EDDY,027,AG LAND,"AG LAND, CROPLAND - ACRES",,"285,628"
NORTH DAKOTA,38,EDDY,027,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,199
NORTH DAKOTA,38,EDDY,027,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"225,420"
NORTH DAKOTA,38,EDDY,027,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"82,231,000"
NORTH DAKOTA,38,EDDY,027,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"282,582"
NORTH DAKOTA,38,EDDY,027,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"63,600,000"
NORTH DAKOTA,38,EDDY,027,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"18,632,000"
NORTH DAKOTA,38,EDDY,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,EDDY,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",98
NORTH DAKOTA,38,EDDY,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",6
NORTH DAKOTA,38,EDDY,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",10
NORTH DAKOTA,38,EDDY,027,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",15
