state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,516
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),8
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),27
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),81
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),97
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),77
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",226
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"811,583"
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,573"
NORTH DAKOTA,38,EMMONS,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,768
NORTH DAKOTA,38,EMMONS,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,493,059"
NORTH DAKOTA,38,EMMONS,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,585"
NORTH DAKOTA,38,EMMONS,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"183,671,000"
NORTH DAKOTA,38,EMMONS,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"357,337"
NORTH DAKOTA,38,EMMONS,029,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,458
NORTH DAKOTA,38,EMMONS,029,AG LAND,"AG LAND, CROPLAND - ACRES",,"500,409"
NORTH DAKOTA,38,EMMONS,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,376
NORTH DAKOTA,38,EMMONS,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"435,870"
NORTH DAKOTA,38,EMMONS,029,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,17
NORTH DAKOTA,38,EMMONS,029,AG LAND,"AG LAND, IRRIGATED - ACRES",,"10,090"
NORTH DAKOTA,38,EMMONS,029,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"162,102,000"
NORTH DAKOTA,38,EMMONS,029,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"314,151"
