state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,287
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),4
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),27
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),38
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),58
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),37
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",123
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"626,343"
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,182"
NORTH DAKOTA,38,GOLDEN VALLEY,033,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,640
NORTH DAKOTA,38,GOLDEN VALLEY,033,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,296,429"
NORTH DAKOTA,38,GOLDEN VALLEY,033,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,052"
NORTH DAKOTA,38,GOLDEN VALLEY,033,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"89,965,000"
NORTH DAKOTA,38,GOLDEN VALLEY,033,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"313,468"
NORTH DAKOTA,38,GOLDEN VALLEY,033,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,239
NORTH DAKOTA,38,GOLDEN VALLEY,033,AG LAND,"AG LAND, CROPLAND - ACRES",,"274,099"
NORTH DAKOTA,38,GOLDEN VALLEY,033,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,177
NORTH DAKOTA,38,GOLDEN VALLEY,033,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"171,764"
NORTH DAKOTA,38,GOLDEN VALLEY,033,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,11
NORTH DAKOTA,38,GOLDEN VALLEY,033,AG LAND,"AG LAND, IRRIGATED - ACRES",,"1,106"
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"45,171,000"
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"157,390"
NORTH DAKOTA,38,GOLDEN VALLEY,033,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"20,849,000"
NORTH DAKOTA,38,GOLDEN VALLEY,033,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"24,322,000"
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",79
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",13
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",18
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",21
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",16
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",31
NORTH DAKOTA,38,GOLDEN VALLEY,033,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",109
NORTH DAKOTA,38,GOLDEN VALLEY,033,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,218
NORTH DAKOTA,38,GOLDEN VALLEY,033,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"5,890,000"
NORTH DAKOTA,38,GOLDEN VALLEY,033,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,189
NORTH DAKOTA,38,GOLDEN VALLEY,033,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"6,802,000"
NORTH DAKOTA,38,GOLDEN VALLEY,033,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"49,731,000"
NORTH DAKOTA,38,GOLDEN VALLEY,033,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"173,278"
NORTH DAKOTA,38,GOLDEN VALLEY,033,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,287
NORTH DAKOTA,38,GOLDEN VALLEY,033,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"8,133,000"
NORTH DAKOTA,38,GOLDEN VALLEY,033,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"28,337"
NORTH DAKOTA,38,GOLDEN VALLEY,033,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,146
NORTH DAKOTA,38,GOLDEN VALLEY,033,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"32,816"
NORTH DAKOTA,38,GOLDEN VALLEY,033,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,139
NORTH DAKOTA,38,GOLDEN VALLEY,033,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"19,416"
NORTH DAKOTA,38,GOLDEN VALLEY,033,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,9
NORTH DAKOTA,38,GOLDEN VALLEY,033,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,18
NORTH DAKOTA,38,GOLDEN VALLEY,033,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,137
NORTH DAKOTA,38,GOLDEN VALLEY,033,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"20,434"
NORTH DAKOTA,38,GOLDEN VALLEY,033,HOGS,HOGS - OPERATIONS WITH INVENTORY,,2
NORTH DAKOTA,38,GOLDEN VALLEY,033,HOGS,HOGS - INVENTORY,,(D)
