state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,889
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),12
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),117
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),253
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),188
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),101
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",218
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"798,480"
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,898
NORTH DAKOTA,38,GRAND FORKS,035,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,266
NORTH DAKOTA,38,GRAND FORKS,035,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,064,078"
NORTH DAKOTA,38,GRAND FORKS,035,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,411"
NORTH DAKOTA,38,GRAND FORKS,035,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"319,873,000"
NORTH DAKOTA,38,GRAND FORKS,035,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"359,812"
NORTH DAKOTA,38,GRAND FORKS,035,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,831
NORTH DAKOTA,38,GRAND FORKS,035,AG LAND,"AG LAND, CROPLAND - ACRES",,"744,093"
NORTH DAKOTA,38,GRAND FORKS,035,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,497
NORTH DAKOTA,38,GRAND FORKS,035,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"646,860"
NORTH DAKOTA,38,GRAND FORKS,035,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,27
NORTH DAKOTA,38,GRAND FORKS,035,AG LAND,"AG LAND, IRRIGATED - ACRES",,"27,498"
NORTH DAKOTA,38,GRAND FORKS,035,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"318,362,000"
NORTH DAKOTA,38,GRAND FORKS,035,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"358,113"
NORTH DAKOTA,38,GRAND FORKS,035,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"294,658,000"
NORTH DAKOTA,38,GRAND FORKS,035,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"23,704,000"
NORTH DAKOTA,38,GRAND FORKS,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,GRAND FORKS,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",391
