state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,412
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),3
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),28
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),50
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),71
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),47
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",213
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"959,467"
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,329"
NORTH DAKOTA,38,GRANT,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,030"
NORTH DAKOTA,38,GRANT,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,494,937"
NORTH DAKOTA,38,GRANT,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,071"
NORTH DAKOTA,38,GRANT,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"108,857,000"
NORTH DAKOTA,38,GRANT,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"264,216"
NORTH DAKOTA,38,GRANT,037,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,367
NORTH DAKOTA,38,GRANT,037,AG LAND,"AG LAND, CROPLAND - ACRES",,"429,013"
NORTH DAKOTA,38,GRANT,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,272
NORTH DAKOTA,38,GRANT,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"292,548"
NORTH DAKOTA,38,GRANT,037,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,11
NORTH DAKOTA,38,GRANT,037,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,146"
NORTH DAKOTA,38,GRANT,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"83,018,000"
NORTH DAKOTA,38,GRANT,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"201,501"
NORTH DAKOTA,38,GRANT,037,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"29,084,000"
NORTH DAKOTA,38,GRANT,037,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"53,935,000"
NORTH DAKOTA,38,GRANT,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,GRANT,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",105
NORTH DAKOTA,38,GRANT,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",11
NORTH DAKOTA,38,GRANT,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",10
NORTH DAKOTA,38,GRANT,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",25
