state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,393
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),4
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),28
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),74
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),90
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),53
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",144
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"453,644"
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,154"
NORTH DAKOTA,38,GRIGGS,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,534
NORTH DAKOTA,38,GRIGGS,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,051,720"
NORTH DAKOTA,38,GRIGGS,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,777"
NORTH DAKOTA,38,GRIGGS,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"133,565,000"
NORTH DAKOTA,38,GRIGGS,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"339,861"
NORTH DAKOTA,38,GRIGGS,039,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,365
NORTH DAKOTA,38,GRIGGS,039,AG LAND,"AG LAND, CROPLAND - ACRES",,"364,840"
NORTH DAKOTA,38,GRIGGS,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,259
NORTH DAKOTA,38,GRIGGS,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"305,764"
NORTH DAKOTA,38,GRIGGS,039,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,9
