state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,482
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),10
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),33
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),88
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),125
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),49
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",177
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"704,881"
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,462"
NORTH DAKOTA,38,HETTINGER,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,465
NORTH DAKOTA,38,HETTINGER,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,055,386"
NORTH DAKOTA,38,HETTINGER,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,405"
NORTH DAKOTA,38,HETTINGER,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"127,454,000"
NORTH DAKOTA,38,HETTINGER,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"264,427"
NORTH DAKOTA,38,HETTINGER,041,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,416
NORTH DAKOTA,38,HETTINGER,041,AG LAND,"AG LAND, CROPLAND - ACRES",,"586,003"
NORTH DAKOTA,38,HETTINGER,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,262
NORTH DAKOTA,38,HETTINGER,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"468,172"
NORTH DAKOTA,38,HETTINGER,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"66,553,000"
NORTH DAKOTA,38,HETTINGER,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"138,077"
NORTH DAKOTA,38,HETTINGER,041,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"53,282,000"
NORTH DAKOTA,38,HETTINGER,041,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"13,271,000"
NORTH DAKOTA,38,HETTINGER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,HETTINGER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",220
NORTH DAKOTA,38,HETTINGER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",11
NORTH DAKOTA,38,HETTINGER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",19
NORTH DAKOTA,38,HETTINGER,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",45
