state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,476
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),1
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),38
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),73
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),83
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),55
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",226
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"748,445"
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,572"
NORTH DAKOTA,38,KIDDER,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,800
NORTH DAKOTA,38,KIDDER,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,978,460"
NORTH DAKOTA,38,KIDDER,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,258"
NORTH DAKOTA,38,KIDDER,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"125,964,000"
NORTH DAKOTA,38,KIDDER,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"264,631"
NORTH DAKOTA,38,KIDDER,043,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,446
NORTH DAKOTA,38,KIDDER,043,AG LAND,"AG LAND, CROPLAND - ACRES",,"423,945"
NORTH DAKOTA,38,KIDDER,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,343
NORTH DAKOTA,38,KIDDER,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"316,750"
NORTH DAKOTA,38,KIDDER,043,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,38
NORTH DAKOTA,38,KIDDER,043,AG LAND,"AG LAND, IRRIGATED - ACRES",,"23,722"
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"113,586,000"
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"238,627"
NORTH DAKOTA,38,KIDDER,043,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"72,824,000"
NORTH DAKOTA,38,KIDDER,043,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"40,762,000"
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",141
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",16
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",18
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",25
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",23
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",45
NORTH DAKOTA,38,KIDDER,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",208
NORTH DAKOTA,38,KIDDER,043,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,393
NORTH DAKOTA,38,KIDDER,043,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"6,882,000"
NORTH DAKOTA,38,KIDDER,043,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,346
NORTH DAKOTA,38,KIDDER,043,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"6,019,000"
NORTH DAKOTA,38,KIDDER,043,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"91,630,000"
NORTH DAKOTA,38,KIDDER,043,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"192,500"
NORTH DAKOTA,38,KIDDER,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,476
NORTH DAKOTA,38,KIDDER,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"34,858,000"
