state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,571
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),8
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),42
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),114
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),102
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),68
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",237
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"726,731"
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,273"
NORTH DAKOTA,38,LA MOURE,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,715
NORTH DAKOTA,38,LA MOURE,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,230,939"
NORTH DAKOTA,38,LA MOURE,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,539"
NORTH DAKOTA,38,LA MOURE,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"238,487,000"
NORTH DAKOTA,38,LA MOURE,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"417,666"
NORTH DAKOTA,38,LA MOURE,045,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,533
NORTH DAKOTA,38,LA MOURE,045,AG LAND,"AG LAND, CROPLAND - ACRES",,"632,944"
NORTH DAKOTA,38,LA MOURE,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,427
NORTH DAKOTA,38,LA MOURE,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"568,231"
NORTH DAKOTA,38,LA MOURE,045,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,24
NORTH DAKOTA,38,LA MOURE,045,AG LAND,"AG LAND, IRRIGATED - ACRES",,"5,528"
NORTH DAKOTA,38,LA MOURE,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"225,991,000"
NORTH DAKOTA,38,LA MOURE,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"395,781"
NORTH DAKOTA,38,LA MOURE,045,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"192,505,000"
NORTH DAKOTA,38,LA MOURE,045,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"33,486,000"
NORTH DAKOTA,38,LA MOURE,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
