state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,351
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),15
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),21
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),42
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),52
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),38
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",183
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"631,778"
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,800"
NORTH DAKOTA,38,LOGAN,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,050"
NORTH DAKOTA,38,LOGAN,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,144,519"
NORTH DAKOTA,38,LOGAN,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,191"
NORTH DAKOTA,38,LOGAN,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"114,472,000"
NORTH DAKOTA,38,LOGAN,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"326,130"
NORTH DAKOTA,38,LOGAN,047,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,315
NORTH DAKOTA,38,LOGAN,047,AG LAND,"AG LAND, CROPLAND - ACRES",,"347,661"
NORTH DAKOTA,38,LOGAN,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,279
NORTH DAKOTA,38,LOGAN,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"288,475"
