state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,750
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),19
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),65
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),161
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),134
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),117
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",254
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,040,198"
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,387"
NORTH DAKOTA,38,MCHENRY,049,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,490
NORTH DAKOTA,38,MCHENRY,049,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,510,122"
NORTH DAKOTA,38,MCHENRY,049,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,089"
NORTH DAKOTA,38,MCHENRY,049,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"180,593,000"
NORTH DAKOTA,38,MCHENRY,049,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"241,112"
NORTH DAKOTA,38,MCHENRY,049,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,667
NORTH DAKOTA,38,MCHENRY,049,AG LAND,"AG LAND, CROPLAND - ACRES",,"629,415"
NORTH DAKOTA,38,MCHENRY,049,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,531
NORTH DAKOTA,38,MCHENRY,049,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"499,325"
NORTH DAKOTA,38,MCHENRY,049,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,19
