state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,363
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),2
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),47
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),67
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),68
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),48
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",131
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"487,665"
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,343"
NORTH DAKOTA,38,MCINTOSH,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,480
NORTH DAKOTA,38,MCINTOSH,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,832,362"
NORTH DAKOTA,38,MCINTOSH,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,364"
NORTH DAKOTA,38,MCINTOSH,051,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"99,791,000"
NORTH DAKOTA,38,MCINTOSH,051,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"275,666"
NORTH DAKOTA,38,MCINTOSH,051,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,295
NORTH DAKOTA,38,MCINTOSH,051,AG LAND,"AG LAND, CROPLAND - ACRES",,"298,286"
NORTH DAKOTA,38,MCINTOSH,051,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,243
NORTH DAKOTA,38,MCINTOSH,051,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"257,023"
NORTH DAKOTA,38,MCINTOSH,051,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,3
NORTH DAKOTA,38,MCINTOSH,051,AG LAND,"AG LAND, IRRIGATED - ACRES",,694
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"94,800,000"
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"261,158"
NORTH DAKOTA,38,MCINTOSH,051,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"53,703,000"
NORTH DAKOTA,38,MCINTOSH,051,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"41,097,000"
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",84
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",6
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",29
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",24
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",37
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",35
NORTH DAKOTA,38,MCINTOSH,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",148
NORTH DAKOTA,38,MCINTOSH,051,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,278
NORTH DAKOTA,38,MCINTOSH,051,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"3,200,000"
NORTH DAKOTA,38,MCINTOSH,051,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,268
NORTH DAKOTA,38,MCINTOSH,051,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"8,677,000"
NORTH DAKOTA,38,MCINTOSH,051,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"84,842,000"
NORTH DAKOTA,38,MCINTOSH,051,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"233,726"
NORTH DAKOTA,38,MCINTOSH,051,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,363
NORTH DAKOTA,38,MCINTOSH,051,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"21,835,000"
NORTH DAKOTA,38,MCINTOSH,051,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"60,153"
NORTH DAKOTA,38,MCINTOSH,051,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,196
NORTH DAKOTA,38,MCINTOSH,051,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"53,606"
NORTH DAKOTA,38,MCINTOSH,051,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,190
NORTH DAKOTA,38,MCINTOSH,051,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
NORTH DAKOTA,38,MCINTOSH,051,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,8
NORTH DAKOTA,38,MCINTOSH,051,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
NORTH DAKOTA,38,MCINTOSH,051,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,207
NORTH DAKOTA,38,MCINTOSH,051,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"33,137"
NORTH DAKOTA,38,MCINTOSH,051,HOGS,HOGS - OPERATIONS WITH INVENTORY,,7
NORTH DAKOTA,38,MCINTOSH,051,HOGS,HOGS - INVENTORY,,99
NORTH DAKOTA,38,MCINTOSH,051,HOGS,HOGS - OPERATIONS WITH SALES,,7
NORTH DAKOTA,38,MCINTOSH,051,HOGS,"HOGS - SALES, MEASURED IN HEAD",,66
NORTH DAKOTA,38,MCINTOSH,051,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,18
NORTH DAKOTA,38,MCINTOSH,051,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"1,013"
NORTH DAKOTA,38,MCINTOSH,051,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,7
NORTH DAKOTA,38,MCINTOSH,051,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,213
NORTH DAKOTA,38,MCINTOSH,051,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,3
NORTH DAKOTA,38,MCINTOSH,051,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,138
NORTH DAKOTA,38,MCINTOSH,051,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,76
NORTH DAKOTA,38,MCINTOSH,051,CORN,"CORN, GRAIN - ACRES HARVESTED",,"36,640"
NORTH DAKOTA,38,MCINTOSH,051,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"4,180,181"
NORTH DAKOTA,38,MCINTOSH,051,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,36
NORTH DAKOTA,38,MCINTOSH,051,CORN,"CORN, SILAGE - ACRES HARVESTED",,"6,051"
NORTH DAKOTA,38,MCINTOSH,051,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"68,871"
NORTH DAKOTA,38,MCINTOSH,051,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,96
NORTH DAKOTA,38,MCINTOSH,051,WHEAT,WHEAT - ACRES HARVESTED,,"57,745"
NORTH DAKOTA,38,MCINTOSH,051,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"1,951,212"
NORTH DAKOTA,38,MCINTOSH,051,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,4
