state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,762
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),10
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),65
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),172
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),140
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),103
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",272
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,045,419"
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,372"
NORTH DAKOTA,38,MCLEAN,055,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,480
NORTH DAKOTA,38,MCLEAN,055,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,448,520"
NORTH DAKOTA,38,MCLEAN,055,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,785"
NORTH DAKOTA,38,MCLEAN,055,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"249,534,000"
NORTH DAKOTA,38,MCLEAN,055,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"327,473"
NORTH DAKOTA,38,MCLEAN,055,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,691
NORTH DAKOTA,38,MCLEAN,055,AG LAND,"AG LAND, CROPLAND - ACRES",,"807,311"
NORTH DAKOTA,38,MCLEAN,055,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,543
NORTH DAKOTA,38,MCLEAN,055,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"729,466"
NORTH DAKOTA,38,MCLEAN,055,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,30
NORTH DAKOTA,38,MCLEAN,055,AG LAND,"AG LAND, IRRIGATED - ACRES",,"8,098"
NORTH DAKOTA,38,MCLEAN,055,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"176,922,000"
NORTH DAKOTA,38,MCLEAN,055,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"232,181"
NORTH DAKOTA,38,MCLEAN,055,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"150,812,000"
NORTH DAKOTA,38,MCLEAN,055,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"26,109,000"
NORTH DAKOTA,38,MCLEAN,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,MCLEAN,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",245
NORTH DAKOTA,38,MCLEAN,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",33
NORTH DAKOTA,38,MCLEAN,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",36
