state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,317
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),5
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),33
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),71
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),41
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),38
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",129
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"518,195"
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,635"
NORTH DAKOTA,38,MERCER,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,619
NORTH DAKOTA,38,MERCER,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,236,333"
NORTH DAKOTA,38,MERCER,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,368"
NORTH DAKOTA,38,MERCER,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"92,463,000"
NORTH DAKOTA,38,MERCER,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"291,683"
NORTH DAKOTA,38,MERCER,057,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,266
NORTH DAKOTA,38,MERCER,057,AG LAND,"AG LAND, CROPLAND - ACRES",,"232,831"
NORTH DAKOTA,38,MERCER,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,231
NORTH DAKOTA,38,MERCER,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"180,750"
NORTH DAKOTA,38,MERCER,057,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,15
NORTH DAKOTA,38,MERCER,057,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,431"
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"57,168,000"
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"180,340"
NORTH DAKOTA,38,MERCER,057,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"25,030,000"
NORTH DAKOTA,38,MERCER,057,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"32,138,000"
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",80
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",15
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",22
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",27
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",27
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",40
NORTH DAKOTA,38,MERCER,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",106
NORTH DAKOTA,38,MERCER,057,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,207
NORTH DAKOTA,38,MERCER,057,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"4,684,000"
NORTH DAKOTA,38,MERCER,057,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,219
NORTH DAKOTA,38,MERCER,057,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"5,676,000"
NORTH DAKOTA,38,MERCER,057,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"51,097,000"
NORTH DAKOTA,38,MERCER,057,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"161,188"
NORTH DAKOTA,38,MERCER,057,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,317
NORTH DAKOTA,38,MERCER,057,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"16,431,000"
NORTH DAKOTA,38,MERCER,057,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"51,833"
NORTH DAKOTA,38,MERCER,057,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,179
NORTH DAKOTA,38,MERCER,057,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"45,225"
NORTH DAKOTA,38,MERCER,057,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,166
NORTH DAKOTA,38,MERCER,057,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"25,297"
NORTH DAKOTA,38,MERCER,057,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,181
NORTH DAKOTA,38,MERCER,057,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"26,243"
NORTH DAKOTA,38,MERCER,057,HOGS,HOGS - OPERATIONS WITH INVENTORY,,7
NORTH DAKOTA,38,MERCER,057,HOGS,HOGS - INVENTORY,,204
NORTH DAKOTA,38,MERCER,057,HOGS,HOGS - OPERATIONS WITH SALES,,7
NORTH DAKOTA,38,MERCER,057,HOGS,"HOGS - SALES, MEASURED IN HEAD",,154
NORTH DAKOTA,38,MERCER,057,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,6
NORTH DAKOTA,38,MERCER,057,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,280
NORTH DAKOTA,38,MERCER,057,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,26
NORTH DAKOTA,38,MERCER,057,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,429
NORTH DAKOTA,38,MERCER,057,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,1
NORTH DAKOTA,38,MERCER,057,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
NORTH DAKOTA,38,MERCER,057,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,29
NORTH DAKOTA,38,MERCER,057,CORN,"CORN, GRAIN - ACRES HARVESTED",,"15,788"
NORTH DAKOTA,38,MERCER,057,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"1,183,853"
