state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,781
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),17
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),77
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),163
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),112
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),88
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",324
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,225,934"
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,570"
NORTH DAKOTA,38,MORTON,059,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,623
NORTH DAKOTA,38,MORTON,059,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,203,330"
NORTH DAKOTA,38,MORTON,059,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,404"
NORTH DAKOTA,38,MORTON,059,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"215,299,000"
NORTH DAKOTA,38,MORTON,059,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"275,670"
NORTH DAKOTA,38,MORTON,059,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,626
NORTH DAKOTA,38,MORTON,059,AG LAND,"AG LAND, CROPLAND - ACRES",,"562,846"
NORTH DAKOTA,38,MORTON,059,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,563
NORTH DAKOTA,38,MORTON,059,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"450,014"
NORTH DAKOTA,38,MORTON,059,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,30
NORTH DAKOTA,38,MORTON,059,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,684"
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"145,997,000"
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"186,936"
NORTH DAKOTA,38,MORTON,059,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"63,552,000"
NORTH DAKOTA,38,MORTON,059,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"82,445,000"
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",165
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",53
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",42
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",86
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",57
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",97
NORTH DAKOTA,38,MORTON,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",281
NORTH DAKOTA,38,MORTON,059,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,513
NORTH DAKOTA,38,MORTON,059,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"7,594,000"
NORTH DAKOTA,38,MORTON,059,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,528
NORTH DAKOTA,38,MORTON,059,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"11,584,000"
NORTH DAKOTA,38,MORTON,059,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"134,661,000"
NORTH DAKOTA,38,MORTON,059,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"172,422"
NORTH DAKOTA,38,MORTON,059,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,781
NORTH DAKOTA,38,MORTON,059,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"30,514,000"
NORTH DAKOTA,38,MORTON,059,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"39,070"
NORTH DAKOTA,38,MORTON,059,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,486
NORTH DAKOTA,38,MORTON,059,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"99,680"
NORTH DAKOTA,38,MORTON,059,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,448
NORTH DAKOTA,38,MORTON,059,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"54,371"
NORTH DAKOTA,38,MORTON,059,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,30
NORTH DAKOTA,38,MORTON,059,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"3,901"
NORTH DAKOTA,38,MORTON,059,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,461
NORTH DAKOTA,38,MORTON,059,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"58,971"
NORTH DAKOTA,38,MORTON,059,HOGS,HOGS - OPERATIONS WITH INVENTORY,,5
NORTH DAKOTA,38,MORTON,059,HOGS,HOGS - INVENTORY,,153
NORTH DAKOTA,38,MORTON,059,HOGS,HOGS - OPERATIONS WITH SALES,,11
NORTH DAKOTA,38,MORTON,059,HOGS,"HOGS - SALES, MEASURED IN HEAD",,292
NORTH DAKOTA,38,MORTON,059,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,34
