state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,584
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),9
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),31
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),68
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),101
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),89
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",286
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,081,383"
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,852"
NORTH DAKOTA,38,MOUNTRAIL,061,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,890
NORTH DAKOTA,38,MOUNTRAIL,061,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,367,371"
NORTH DAKOTA,38,MOUNTRAIL,061,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,278"
