state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,489
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),3
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),38
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),137
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),102
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),59
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",150
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"552,853"
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,131"
NORTH DAKOTA,38,NELSON,063,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,320
NORTH DAKOTA,38,NELSON,063,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,537,488"
NORTH DAKOTA,38,NELSON,063,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,360"
NORTH DAKOTA,38,NELSON,063,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"167,088,000"
NORTH DAKOTA,38,NELSON,063,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"341,693"
NORTH DAKOTA,38,NELSON,063,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,469
NORTH DAKOTA,38,NELSON,063,AG LAND,"AG LAND, CROPLAND - ACRES",,"475,351"
NORTH DAKOTA,38,NELSON,063,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,243
NORTH DAKOTA,38,NELSON,063,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"360,775"
NORTH DAKOTA,38,NELSON,063,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,8
NORTH DAKOTA,38,NELSON,063,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,884"
NORTH DAKOTA,38,NELSON,063,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"120,888,000"
NORTH DAKOTA,38,NELSON,063,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"247,214"
NORTH DAKOTA,38,NELSON,063,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"112,527,000"
NORTH DAKOTA,38,NELSON,063,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"8,360,000"
NORTH DAKOTA,38,NELSON,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
