state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,234
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),2
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),32
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),42
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),50
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),30
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",78
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"313,542"
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,340"
NORTH DAKOTA,38,OLIVER,065,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,410
NORTH DAKOTA,38,OLIVER,065,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,932,910"
NORTH DAKOTA,38,OLIVER,065,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,443"
NORTH DAKOTA,38,OLIVER,065,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"68,490,000"
NORTH DAKOTA,38,OLIVER,065,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"292,694"
NORTH DAKOTA,38,OLIVER,065,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,208
NORTH DAKOTA,38,OLIVER,065,AG LAND,"AG LAND, CROPLAND - ACRES",,"148,539"
