state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,446
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),5
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),54
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),83
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),59
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),76
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",169
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"540,395"
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,212"
NORTH DAKOTA,38,PIERCE,069,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,600
NORTH DAKOTA,38,PIERCE,069,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,707,184"
NORTH DAKOTA,38,PIERCE,069,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,409"
NORTH DAKOTA,38,PIERCE,069,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"150,482,000"
NORTH DAKOTA,38,PIERCE,069,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"337,405"
NORTH DAKOTA,38,PIERCE,069,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,400
NORTH DAKOTA,38,PIERCE,069,AG LAND,"AG LAND, CROPLAND - ACRES",,"435,295"
NORTH DAKOTA,38,PIERCE,069,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,307
NORTH DAKOTA,38,PIERCE,069,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"363,005"
NORTH DAKOTA,38,PIERCE,069,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,4
NORTH DAKOTA,38,PIERCE,069,AG LAND,"AG LAND, IRRIGATED - ACRES",,782
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"98,774,000"
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"221,467"
NORTH DAKOTA,38,PIERCE,069,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"83,304,000"
NORTH DAKOTA,38,PIERCE,069,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"15,470,000"
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",147
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",8
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",18
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",21
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",31
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",32
NORTH DAKOTA,38,PIERCE,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",189
NORTH DAKOTA,38,PIERCE,069,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,385
NORTH DAKOTA,38,PIERCE,069,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"8,501,000"
NORTH DAKOTA,38,PIERCE,069,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,346
NORTH DAKOTA,38,PIERCE,069,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"11,467,000"
NORTH DAKOTA,38,PIERCE,069,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"85,155,000"
NORTH DAKOTA,38,PIERCE,069,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"190,931"
NORTH DAKOTA,38,PIERCE,069,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,446
NORTH DAKOTA,38,PIERCE,069,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"33,587,000"
NORTH DAKOTA,38,PIERCE,069,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"75,307"
NORTH DAKOTA,38,PIERCE,069,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,131
NORTH DAKOTA,38,PIERCE,069,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"22,342"
NORTH DAKOTA,38,PIERCE,069,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,119
NORTH DAKOTA,38,PIERCE,069,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"11,954"
NORTH DAKOTA,38,PIERCE,069,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,113
NORTH DAKOTA,38,PIERCE,069,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"13,320"
NORTH DAKOTA,38,PIERCE,069,HOGS,HOGS - OPERATIONS WITH INVENTORY,,5
NORTH DAKOTA,38,PIERCE,069,HOGS,HOGS - INVENTORY,,10
NORTH DAKOTA,38,PIERCE,069,HOGS,HOGS - OPERATIONS WITH SALES,,3
NORTH DAKOTA,38,PIERCE,069,HOGS,"HOGS - SALES, MEASURED IN HEAD",,3
NORTH DAKOTA,38,PIERCE,069,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,7
NORTH DAKOTA,38,PIERCE,069,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,242
NORTH DAKOTA,38,PIERCE,069,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,11
NORTH DAKOTA,38,PIERCE,069,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,394
NORTH DAKOTA,38,PIERCE,069,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,5
NORTH DAKOTA,38,PIERCE,069,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,90
NORTH DAKOTA,38,PIERCE,069,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,78
NORTH DAKOTA,38,PIERCE,069,CORN,"CORN, GRAIN - ACRES HARVESTED",,"20,860"
NORTH DAKOTA,38,PIERCE,069,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"1,958,277"
NORTH DAKOTA,38,PIERCE,069,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,19
NORTH DAKOTA,38,PIERCE,069,CORN,"CORN, SILAGE - ACRES HARVESTED",,987
NORTH DAKOTA,38,PIERCE,069,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"12,857"
NORTH DAKOTA,38,PIERCE,069,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,211
NORTH DAKOTA,38,PIERCE,069,WHEAT,WHEAT - ACRES HARVESTED,,"129,386"
NORTH DAKOTA,38,PIERCE,069,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"5,605,111"
NORTH DAKOTA,38,PIERCE,069,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,38
NORTH DAKOTA,38,PIERCE,069,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"14,662"
NORTH DAKOTA,38,PIERCE,069,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"647,783"
NORTH DAKOTA,38,PIERCE,069,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,177
NORTH DAKOTA,38,PIERCE,069,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"114,724"
NORTH DAKOTA,38,PIERCE,069,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"4,957,328"
NORTH DAKOTA,38,PIERCE,069,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,16
NORTH DAKOTA,38,PIERCE,069,OATS,OATS - ACRES HARVESTED,,"2,104"
NORTH DAKOTA,38,PIERCE,069,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"170,411"
NORTH DAKOTA,38,PIERCE,069,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,50
NORTH DAKOTA,38,PIERCE,069,BARLEY,BARLEY - ACRES HARVESTED,,"17,649"
