state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,515
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),20
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),47
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),117
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),92
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),54
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",185
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"696,611"
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,353"
NORTH DAKOTA,38,RAMSEY,071,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,400
NORTH DAKOTA,38,RAMSEY,071,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,446,528"
NORTH DAKOTA,38,RAMSEY,071,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,809"
NORTH DAKOTA,38,RAMSEY,071,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"244,188,000"
NORTH DAKOTA,38,RAMSEY,071,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"474,152"
NORTH DAKOTA,38,RAMSEY,071,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,478
NORTH DAKOTA,38,RAMSEY,071,AG LAND,"AG LAND, CROPLAND - ACRES",,"626,350"
NORTH DAKOTA,38,RAMSEY,071,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,286
NORTH DAKOTA,38,RAMSEY,071,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"529,017"
NORTH DAKOTA,38,RAMSEY,071,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,1
NORTH DAKOTA,38,RAMSEY,071,AG LAND,"AG LAND, IRRIGATED - ACRES",,(D)
NORTH DAKOTA,38,RAMSEY,071,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"190,189,000"
NORTH DAKOTA,38,RAMSEY,071,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"369,299"
NORTH DAKOTA,38,RAMSEY,071,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"163,906,000"
NORTH DAKOTA,38,RAMSEY,071,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"26,282,000"
NORTH DAKOTA,38,RAMSEY,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,RAMSEY,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",224
NORTH DAKOTA,38,RAMSEY,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",23
NORTH DAKOTA,38,RAMSEY,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",13
NORTH DAKOTA,38,RAMSEY,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",23
NORTH DAKOTA,38,RAMSEY,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",21
NORTH DAKOTA,38,RAMSEY,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",5
