state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,846
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),29
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),130
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),153
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),143
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),106
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",285
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"875,444"
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,035"
NORTH DAKOTA,38,RICHLAND,077,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,453
NORTH DAKOTA,38,RICHLAND,077,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,300,158"
NORTH DAKOTA,38,RICHLAND,077,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,189"
NORTH DAKOTA,38,RICHLAND,077,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"395,780,000"
NORTH DAKOTA,38,RICHLAND,077,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"467,825"
NORTH DAKOTA,38,RICHLAND,077,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,791
NORTH DAKOTA,38,RICHLAND,077,AG LAND,"AG LAND, CROPLAND - ACRES",,"822,988"
NORTH DAKOTA,38,RICHLAND,077,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,591
NORTH DAKOTA,38,RICHLAND,077,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"773,174"
NORTH DAKOTA,38,RICHLAND,077,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,29
NORTH DAKOTA,38,RICHLAND,077,AG LAND,"AG LAND, IRRIGATED - ACRES",,"6,093"
NORTH DAKOTA,38,RICHLAND,077,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"390,797,000"
NORTH DAKOTA,38,RICHLAND,077,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"461,935"
NORTH DAKOTA,38,RICHLAND,077,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"354,985,000"
